camera,segment,kind,frame,model,n,score,mean,x1,y1,x2,y2
zenbook,close,rgb,rgb/rgb00.ppm,short,1,0.9211,136.1,193,153,508,468
zenbook,close,rgb,rgb/rgb00.ppm,full,1,0.6414,136.1,182,125,520,463
zenbook,close,rgb,rgb/rgb01.ppm,short,1,0.9271,135.7,191,147,510,466
zenbook,close,rgb,rgb/rgb01.ppm,full,1,0.7806,135.7,192,123,509,440
zenbook,close,rgb,rgb/rgb02.ppm,short,1,0.9266,136.9,189,146,515,472
zenbook,close,rgb,rgb/rgb02.ppm,full,1,0.7059,136.9,184,126,520,462
zenbook,close,rgb,rgb/rgb03.ppm,short,1,0.9358,136.8,192,147,510,465
zenbook,close,rgb,rgb/rgb03.ppm,full,1,0.7271,136.8,185,128,517,460
zenbook,close,rgb,rgb/rgb04.ppm,short,1,0.9316,136.8,195,146,513,464
zenbook,close,rgb,rgb/rgb04.ppm,full,1,0.6864,136.8,182,119,520,457
zenbook,close,rgb,rgb/rgb05.ppm,short,1,0.9339,137.2,191,148,511,468
zenbook,close,rgb,rgb/rgb05.ppm,full,1,0.6926,137.2,181,119,520,458
zenbook,close,rgb,rgb/rgb06.ppm,short,1,0.9334,137.4,193,145,511,463
zenbook,close,rgb,rgb/rgb06.ppm,full,1,0.7146,137.4,181,118,520,457
zenbook,close,rgb,rgb/rgb07.ppm,short,1,0.9276,137.7,193,145,514,466
zenbook,close,rgb,rgb/rgb07.ppm,full,1,0.7146,137.7,181,117,521,457
zenbook,close,ir,ir/frame00.pgm,short,1,0.8160,146.8,157,121,443,407
zenbook,close,ir,ir/frame00.pgm,full,1,0.6797,146.8,135,92,434,391
zenbook,close,ir,ir/frame01.pgm,short,0,,5.8,,,,
zenbook,close,ir,ir/frame01.pgm,full,0,,5.8,,,,
zenbook,close,ir,ir/frame02.pgm,short,1,0.8214,145.6,156,120,443,407
zenbook,close,ir,ir/frame02.pgm,full,1,0.6848,145.6,136,92,435,391
zenbook,close,ir,ir/frame03.pgm,short,0,,6.0,,,,
zenbook,close,ir,ir/frame03.pgm,full,0,,6.0,,,,
zenbook,close,ir,ir/frame04.pgm,short,1,0.8323,136.6,158,123,442,407
zenbook,close,ir,ir/frame04.pgm,full,1,0.6942,136.6,136,93,434,391
zenbook,close,ir,ir/frame05.pgm,short,0,,5.7,,,,
zenbook,close,ir,ir/frame05.pgm,full,0,,5.7,,,,
zenbook,close,ir,ir/frame06.pgm,short,1,0.8391,123.5,162,124,443,405
zenbook,close,ir,ir/frame06.pgm,full,1,0.7040,123.5,136,92,435,391
zenbook,close,ir,ir/frame07.pgm,short,0,,5.3,,,,
zenbook,close,ir,ir/frame07.pgm,full,0,,5.3,,,,
zenbook,close,ir,ir/frame08.pgm,short,1,0.8959,112.5,162,126,439,403
zenbook,close,ir,ir/frame08.pgm,full,1,0.6876,112.5,138,95,440,397
zenbook,close,ir,ir/frame09.pgm,short,0,,4.8,,,,
zenbook,close,ir,ir/frame09.pgm,full,0,,4.8,,,,
zenbook,close,ir,ir/frame10.pgm,short,1,0.9212,98.8,160,128,433,401
zenbook,close,ir,ir/frame10.pgm,full,1,0.7314,98.8,138,95,440,397
zenbook,close,ir,ir/frame11.pgm,short,0,,4.3,,,,
zenbook,close,ir,ir/frame11.pgm,full,0,,4.3,,,,
zenbook,close,ir,ir/frame12.pgm,short,1,0.9366,86.8,161,127,432,398
zenbook,close,ir,ir/frame12.pgm,full,1,0.8130,86.8,144,106,441,403
zenbook,close,ir,ir/frame13.pgm,short,0,,3.9,,,,
zenbook,close,ir,ir/frame13.pgm,full,0,,3.9,,,,
zenbook,close,ir,ir/frame14.pgm,short,1,0.9472,78.5,159,127,430,397
zenbook,close,ir,ir/frame14.pgm,full,1,0.7788,78.5,142,106,439,403
zenbook,close,ir,ir/frame15.pgm,short,0,,3.5,,,,
zenbook,close,ir,ir/frame15.pgm,full,0,,3.5,,,,
zenbook,close,ir,ir/frame16.pgm,short,1,0.9569,67.2,158,128,430,400
zenbook,close,ir,ir/frame16.pgm,full,1,0.7966,67.2,146,109,437,400
zenbook,close,ir,ir/frame17.pgm,short,0,,3.3,,,,
zenbook,close,ir,ir/frame17.pgm,full,0,,3.3,,,,
zenbook,close,ir,ir/frame18.pgm,short,1,0.9593,63.9,159,128,430,399
zenbook,close,ir,ir/frame18.pgm,full,1,0.8102,63.9,145,108,438,401
zenbook,close,ir,ir/frame19.pgm,short,0,,3.1,,,,
zenbook,close,ir,ir/frame19.pgm,full,0,,3.1,,,,
zenbook,close,ir,ir/frame20.pgm,short,1,0.9594,60.4,160,129,430,399
zenbook,close,ir,ir/frame20.pgm,full,1,0.8144,60.4,147,109,437,399
zenbook,close,ir,ir/frame21.pgm,short,0,,3.0,,,,
zenbook,close,ir,ir/frame21.pgm,full,0,,3.0,,,,
zenbook,close,ir,ir/frame22.pgm,short,1,0.9588,59.2,160,128,431,399
zenbook,close,ir,ir/frame22.pgm,full,1,0.7983,59.2,147,110,436,399
zenbook,close,ir,ir/frame23.pgm,short,0,,2.9,,,,
