camera,segment,kind,frame,score,x1,y1,x2,y2
zenbook,close,rgb,rgb/rgb00.ppm,0.7249,184.8,129.2,518.4,462.8
zenbook,close,rgb,rgb/rgb01.ppm,0.7649,183.2,128.7,515.7,461.3
zenbook,close,rgb,rgb/rgb02.ppm,0.7503,181.7,127.2,516.8,462.3
zenbook,close,rgb,rgb/rgb03.ppm,0.7647,182.7,127.5,517.0,461.8
zenbook,close,rgb,rgb/rgb04.ppm,0.7438,185.0,128.7,516.9,460.6
zenbook,close,rgb,rgb/rgb05.ppm,0.7610,181.7,117.4,515.6,451.4
zenbook,close,rgb,rgb/rgb06.ppm,0.7412,183.0,116.9,517.5,451.4
zenbook,close,rgb,rgb/rgb07.ppm,0.7188,182.7,116.6,518.5,452.4
zenbook,close,ir,ir/frame00.pgm,0.7670,138.8,95.8,431.5,388.4
zenbook,close,ir,ir/frame01.pgm,,,,,
zenbook,close,ir,ir/frame02.pgm,0.7663,139.0,96.0,431.0,388.1
zenbook,close,ir,ir/frame03.pgm,,,,,
zenbook,close,ir,ir/frame04.pgm,0.6550,138.9,94.7,433.1,388.9
zenbook,close,ir,ir/frame05.pgm,,,,,
zenbook,close,ir,ir/frame06.pgm,0.6038,137.5,93.6,434.4,390.5
zenbook,close,ir,ir/frame07.pgm,,,,,
zenbook,close,ir,ir/frame08.pgm,0.6544,142.6,104.7,440.5,402.6
zenbook,close,ir,ir/frame09.pgm,,,,,
zenbook,close,ir,ir/frame10.pgm,0.7453,144.8,108.0,438.4,401.5
zenbook,close,ir,ir/frame11.pgm,,,,,
zenbook,close,ir,ir/frame12.pgm,0.7775,142.9,106.3,440.8,404.1
zenbook,close,ir,ir/frame13.pgm,,,,,
zenbook,close,ir,ir/frame14.pgm,0.7697,142.8,106.0,440.6,403.8
zenbook,close,ir,ir/frame15.pgm,,,,,
zenbook,close,ir,ir/frame16.pgm,0.7521,145.2,108.3,438.3,401.4
zenbook,close,ir,ir/frame17.pgm,,,,,
zenbook,close,ir,ir/frame18.pgm,0.7505,144.7,107.8,438.7,401.8
zenbook,close,ir,ir/frame19.pgm,,,,,
zenbook,close,ir,ir/frame20.pgm,0.7582,145.1,108.0,438.6,401.4
zenbook,close,ir,ir/frame21.pgm,,,,,
zenbook,close,ir,ir/frame22.pgm,0.7470,144.0,107.1,439.2,402.3
zenbook,close,ir,ir/frame23.pgm,,,,,
zenbook,far,rgb,rgb/rgb00.ppm,0.9254,276.6,262.3,368.0,353.7
zenbook,far,rgb,rgb/rgb01.ppm,0.9321,276.4,262.7,367.0,353.3
zenbook,far,rgb,rgb/rgb02.ppm,0.9393,275.9,262.6,367.5,354.2
zenbook,far,rgb,rgb/rgb03.ppm,0.9411,275.9,262.8,367.5,354.4
zenbook,far,rgb,rgb/rgb04.ppm,0.9423,275.2,262.4,367.9,355.1
zenbook,far,rgb,rgb/rgb05.ppm,0.9460,274.8,262.2,368.0,355.3
zenbook,far,rgb,rgb/rgb06.ppm,0.9427,274.9,262.7,367.3,355.1
zenbook,far,rgb,rgb/rgb07.ppm,0.9449,275.2,262.9,367.1,354.9
zenbook,far,ir,ir/frame00.pgm,0.8123,248.5,221.2,342.1,314.7
zenbook,far,ir,ir/frame01.pgm,,,,,
zenbook,far,ir,ir/frame02.pgm,0.8106,248.6,221.4,341.9,314.6
zenbook,far,ir,ir/frame03.pgm,,,,,
zenbook,far,ir,ir/frame04.pgm,0.8270,249.1,222.0,342.0,315.0
zenbook,far,ir,ir/frame05.pgm,,,,,
