camera,segment,kind,frame,score,x1,y1,x2,y2
zenbook,close,rgb,rgb/rgb00.ppm,0.7249,184.8,129.2,518.4,462.8
zenbook,close,rgb,rgb/rgb01.ppm,0.7649,183.2,128.7,515.7,461.3
zenbook,close,rgb,rgb/rgb02.ppm,0.7503,181.7,127.2,516.8,462.3
zenbook,close,rgb,rgb/rgb03.ppm,0.7647,182.7,127.5,517.0,461.8
zenbook,close,rgb,rgb/rgb04.ppm,0.7438,185.0,128.7,516.9,460.6
zenbook,close,rgb,rgb/rgb05.ppm,0.7610,181.7,117.4,515.6,451.4
zenbook,close,rgb,rgb/rgb06.ppm,0.7412,183.0,116.9,517.5,451.4
zenbook,close,rgb,rgb/rgb07.ppm,0.7188,182.7,116.6,518.5,452.4
zenbook,close,ir,ir/frame00.pgm,0.7670,138.8,95.8,431.5,388.4
zenbook,close,ir,ir/frame01.pgm,0.1320,-5.9,156.9,110.6,273.3
zenbook,close,ir,ir/frame02.pgm,0.7663,139.0,96.0,431.0,388.1
zenbook,close,ir,ir/frame03.pgm,0.1212,-6.8,156.0,111.5,274.3
zenbook,close,ir,ir/frame04.pgm,0.6550,138.9,94.7,433.1,388.9
zenbook,close,ir,ir/frame05.pgm,0.1400,-8.4,154.4,113.5,276.3
zenbook,close,ir,ir/frame06.pgm,0.6038,137.5,93.6,434.4,390.5
zenbook,close,ir,ir/frame07.pgm,0.1393,12.5,238.2,177.8,403.5
zenbook,close,ir,ir/frame08.pgm,0.6544,142.6,104.7,440.5,402.6
zenbook,close,ir,ir/frame09.pgm,0.1237,9.0,234.8,181.8,407.5
zenbook,close,ir,ir/frame10.pgm,0.7453,144.8,108.0,438.4,401.5
zenbook,close,ir,ir/frame11.pgm,0.1681,10.2,235.9,179.9,405.7
zenbook,close,ir,ir/frame12.pgm,0.7775,142.9,106.3,440.8,404.1
zenbook,close,ir,ir/frame13.pgm,0.1974,9.3,235.4,179.8,405.9
zenbook,close,ir,ir/frame14.pgm,0.7697,142.8,106.0,440.6,403.8
zenbook,close,ir,ir/frame15.pgm,0.2168,10.6,236.9,177.4,403.7
zenbook,close,ir,ir/frame16.pgm,0.7521,145.2,108.3,438.3,401.4
zenbook,close,ir,ir/frame17.pgm,0.1754,10.1,237.0,177.4,404.3
zenbook,close,ir,ir/frame18.pgm,0.7505,144.7,107.8,438.7,401.8
zenbook,close,ir,ir/frame19.pgm,0.1778,9.7,236.3,178.1,404.7
zenbook,close,ir,ir/frame20.pgm,0.7582,145.1,108.0,438.6,401.4
zenbook,close,ir,ir/frame21.pgm,0.1945,8.6,222.4,180.6,394.5
zenbook,close,ir,ir/frame22.pgm,0.7470,144.0,107.1,439.2,402.3
zenbook,close,ir,ir/frame23.pgm,0.1936,8.8,222.2,181.0,394.4
zenbook,dim,rgb,rgb/rgb00.ppm,0.6218,263.1,248.6,434.8,420.3
zenbook,dim,rgb,rgb/rgb01.ppm,0.6443,254.9,228.1,443.1,416.3
zenbook,dim,rgb,rgb/rgb02.ppm,0.7181,247.5,220.8,448.4,421.8
zenbook,dim,rgb,rgb/rgb03.ppm,0.7139,246.2,208.1,451.6,413.5
zenbook,dim,rgb,rgb/rgb04.ppm,0.6846,241.2,214.9,452.9,426.6
zenbook,dim,rgb,rgb/rgb05.ppm,0.6777,243.0,206.7,449.6,413.3
zenbook,dim,rgb,rgb/rgb06.ppm,0.8052,245.8,208.2,449.4,411.8
zenbook,dim,rgb,rgb/rgb07.ppm,0.7701,246.7,219.1,452.4,424.8
