segment,kind,frame,yunet_n,yunet_score,yunet_fsize,mesh_ok,ear_l,ear_r,span_x,span_y,blaze_score,blaze_fsize,mean
close,rgb,rgb/rgb00.ppm,1,0.9407,240.2842,true,0.2772,0.3004,167.3418,165.5533,0.9338,278.9131,149.2
close,rgb,rgb/rgb01.ppm,1,0.9423,235.7395,true,0.2682,0.2999,166.3462,165.6861,0.9463,274.2609,149.5
close,rgb,rgb/rgb02.ppm,1,0.9442,234.4731,true,0.2643,0.2946,166.4733,164.4137,0.9527,272.0656,149.8
close,rgb,rgb/rgb03.ppm,1,0.9415,230.6827,true,0.2547,0.2746,165.9348,162.9530,0.9539,267.3879,149.6
close,rgb,rgb/rgb04.ppm,1,0.9393,233.8528,true,0.2647,0.2936,166.2434,165.4210,0.9612,268.5233,149.8
close,rgb,rgb/rgb05.ppm,1,0.9407,233.5758,true,0.2631,0.2920,165.6888,164.3051,0.9481,274.3475,149.8
close,rgb,rgb/rgb06.ppm,1,0.9444,233.2298,true,0.2603,0.2867,166.1687,165.1845,0.9466,271.8342,149.6
close,rgb,rgb/rgb07.ppm,1,0.9403,234.8734,true,0.2098,0.2233,166.0410,161.9382,0.9530,268.2504,149.2
close,ir,ir/frame00.pgm,0,,,false,,,,,,,4.1
close,ir,ir/frame01.pgm,0,,,false,,,,,0.7722,227.8687,106.3
close,ir,ir/frame02.pgm,0,,,false,,,,,,,4.1
close,ir,ir/frame03.pgm,1,0.6367,185.4134,true,0.2192,0.2523,148.6975,144.2072,0.7590,228.4857,96.4
close,ir,ir/frame04.pgm,0,,,false,,,,,,,2.6
close,ir,ir/frame05.pgm,1,0.6683,176.0790,true,0.2332,0.2584,148.0124,146.7342,0.7268,224.9610,95.5
close,ir,ir/frame06.pgm,0,,,false,,,,,,,2.6
close,ir,ir/frame07.pgm,1,0.6746,172.6052,true,0.2303,0.2536,149.5024,147.0219,0.7363,237.4127,94.9
close,ir,ir/frame08.pgm,0,,,false,,,,,,,2.6
close,ir,ir/frame09.pgm,1,0.6226,175.9958,true,0.2407,0.2546,149.4189,148.8710,0.7375,235.5271,94.3
close,ir,ir/frame10.pgm,0,,,false,,,,,,,2.6
close,ir,ir/frame11.pgm,1,0.6479,179.0818,true,0.2436,0.2631,147.3611,147.5534,0.7657,242.0688,93.6
close,ir,ir/frame12.pgm,0,,,false,,,,,,,2.6
close,ir,ir/frame13.pgm,1,0.6922,182.8066,true,0.2335,0.2596,148.3998,149.0136,0.7566,227.4499,93.2
close,ir,ir/frame14.pgm,0,,,false,,,,,,,2.6
close,ir,ir/frame15.pgm,1,0.8489,202.6228,true,0.1750,0.2139,150.2443,146.9183,0.8250,241.6310,87.1
close,ir,ir/frame16.pgm,0,,,false,,,,,,,2.1
close,ir,ir/frame17.pgm,1,0.8928,211.9922,true,0.1741,0.2136,148.6656,149.1578,0.8863,246.5575,80.4
close,ir,ir/frame18.pgm,0,,,false,,,,,,,1.7
close,ir,ir/frame19.pgm,1,0.9001,213.6799,true,0.1845,0.2161,149.3486,149.0400,0.9010,246.2217,77.8
close,ir,ir/frame20.pgm,0,,,false,,,,,,,1.5
close,ir,ir/frame21.pgm,1,0.9067,220.5028,true,0.2240,0.2370,151.1643,152.5544,0.9279,247.2596,73.1
close,ir,ir/frame22.pgm,0,,,false,,,,,,,1.2
close,ir,ir/frame23.pgm,1,0.9121,222.3241,true,0.2365,0.2738,151.3705,148.6905,0.9447,241.3063,68.5
far,rgb,rgb/rgb00.ppm,1,0.9040,81.1989,true,0.3039,0.3119,54.0135,50.4410,,,106.8
far,rgb,rgb/rgb01.ppm,1,0.9039,85.3398,true,0.2999,0.3085,54.2043,51.0922,0.5590,77.4229,104.5
far,rgb,rgb/rgb02.ppm,1,0.9055,83.2846,true,0.3092,0.3137,54.0711,50.7272,,,104.1
far,rgb,rgb/rgb03.ppm,1,0.9091,83.4623,true,0.2892,0.2953,54.8235,51.2457,0.5705,102.7570,104.1
