camera,segment,kind,frame,model,n,score,mean
zenbook,close,rgb,rgb/rgb00.ppm,short,1,0.9211,136.1
zenbook,close,rgb,rgb/rgb00.ppm,full,1,0.6414,136.1
zenbook,close,rgb,rgb/rgb01.ppm,short,1,0.9271,135.7
zenbook,close,rgb,rgb/rgb01.ppm,full,1,0.7806,135.7
zenbook,close,rgb,rgb/rgb02.ppm,short,1,0.9266,136.9
zenbook,close,rgb,rgb/rgb02.ppm,full,1,0.7059,136.9
zenbook,close,rgb,rgb/rgb03.ppm,short,1,0.9358,136.8
zenbook,close,rgb,rgb/rgb03.ppm,full,1,0.7271,136.8
zenbook,close,rgb,rgb/rgb04.ppm,short,1,0.9316,136.8
zenbook,close,rgb,rgb/rgb04.ppm,full,1,0.6864,136.8
zenbook,close,rgb,rgb/rgb05.ppm,short,1,0.9339,137.2
zenbook,close,rgb,rgb/rgb05.ppm,full,1,0.6926,137.2
zenbook,close,rgb,rgb/rgb06.ppm,short,1,0.9334,137.4
zenbook,close,rgb,rgb/rgb06.ppm,full,1,0.7146,137.4
zenbook,close,rgb,rgb/rgb07.ppm,short,1,0.9276,137.7
zenbook,close,rgb,rgb/rgb07.ppm,full,1,0.7146,137.7
zenbook,close,ir,ir/frame00.pgm,short,1,0.8160,146.8
zenbook,close,ir,ir/frame00.pgm,full,1,0.6797,146.8
zenbook,close,ir,ir/frame01.pgm,short,0,,5.8
zenbook,close,ir,ir/frame01.pgm,full,0,,5.8
zenbook,close,ir,ir/frame02.pgm,short,1,0.8214,145.6
zenbook,close,ir,ir/frame02.pgm,full,1,0.6848,145.6
zenbook,close,ir,ir/frame03.pgm,short,0,,6.0
zenbook,close,ir,ir/frame03.pgm,full,0,,6.0
zenbook,close,ir,ir/frame04.pgm,short,1,0.8323,136.6
zenbook,close,ir,ir/frame04.pgm,full,1,0.6942,136.6
zenbook,close,ir,ir/frame05.pgm,short,0,,5.7
zenbook,close,ir,ir/frame05.pgm,full,0,,5.7
zenbook,close,ir,ir/frame06.pgm,short,1,0.8391,123.5
zenbook,close,ir,ir/frame06.pgm,full,1,0.7040,123.5
zenbook,close,ir,ir/frame07.pgm,short,0,,5.3
zenbook,close,ir,ir/frame07.pgm,full,0,,5.3
zenbook,close,ir,ir/frame08.pgm,short,1,0.8959,112.5
zenbook,close,ir,ir/frame08.pgm,full,1,0.6876,112.5
zenbook,close,ir,ir/frame09.pgm,short,0,,4.8
zenbook,close,ir,ir/frame09.pgm,full,0,,4.8
zenbook,close,ir,ir/frame10.pgm,short,1,0.9212,98.8
zenbook,close,ir,ir/frame10.pgm,full,1,0.7314,98.8
zenbook,close,ir,ir/frame11.pgm,short,0,,4.3
zenbook,close,ir,ir/frame11.pgm,full,0,,4.3
zenbook,close,ir,ir/frame12.pgm,short,1,0.9366,86.8
zenbook,close,ir,ir/frame12.pgm,full,1,0.8130,86.8
zenbook,close,ir,ir/frame13.pgm,short,0,,3.9
zenbook,close,ir,ir/frame13.pgm,full,0,,3.9
zenbook,close,ir,ir/frame14.pgm,short,1,0.9472,78.5
zenbook,close,ir,ir/frame14.pgm,full,1,0.7788,78.5
zenbook,close,ir,ir/frame15.pgm,short,0,,3.5
zenbook,close,ir,ir/frame15.pgm,full,0,,3.5
zenbook,close,ir,ir/frame16.pgm,short,1,0.9569,67.2
zenbook,close,ir,ir/frame16.pgm,full,1,0.7966,67.2
zenbook,close,ir,ir/frame17.pgm,short,0,,3.3
zenbook,close,ir,ir/frame17.pgm,full,0,,3.3
zenbook,close,ir,ir/frame18.pgm,short,1,0.9593,63.9
zenbook,close,ir,ir/frame18.pgm,full,1,0.8102,63.9
zenbook,close,ir,ir/frame19.pgm,short,0,,3.1
zenbook,close,ir,ir/frame19.pgm,full,0,,3.1
zenbook,close,ir,ir/frame20.pgm,short,1,0.9594,60.4
zenbook,close,ir,ir/frame20.pgm,full,1,0.8144,60.4
zenbook,close,ir,ir/frame21.pgm,short,0,,3.0
zenbook,close,ir,ir/frame21.pgm,full,0,,3.0
zenbook,close,ir,ir/frame22.pgm,short,1,0.9588,59.2
zenbook,close,ir,ir/frame22.pgm,full,1,0.7983,59.2
zenbook,close,ir,ir/frame23.pgm,short,0,,2.9
zenbook,close,ir,ir/frame23.pgm,full,0,,2.9
zenbook,far,rgb,rgb/rgb00.ppm,short,1,0.7575,148.0
zenbook,far,rgb,rgb/rgb00.ppm,full,1,0.9409,148.0
zenbook,far,rgb,rgb/rgb01.ppm,short,1,0.8441,149.7
zenbook,far,rgb,rgb/rgb01.ppm,full,1,0.9352,149.7
zenbook,far,rgb,rgb/rgb02.ppm,short,1,0.8150,150.3
zenbook,far,rgb,rgb/rgb02.ppm,full,1,0.9431,150.3
zenbook,far,rgb,rgb/rgb03.ppm,short,1,0.8364,149.4
zenbook,far,rgb,rgb/rgb03.ppm,full,1,0.9408,149.4
zenbook,far,rgb,rgb/rgb04.ppm,short,1,0.8197,149.5
zenbook,far,rgb,rgb/rgb04.ppm,full,1,0.9329,149.5
zenbook,far,rgb,rgb/rgb05.ppm,short,1,0.7512,149.7
zenbook,far,rgb,rgb/rgb05.ppm,full,1,0.9448,149.7
zenbook,far,rgb,rgb/rgb06.ppm,short,1,0.8119,149.7
zenbook,far,rgb,rgb/rgb06.ppm,full,1,0.9490,149.7
zenbook,far,rgb,rgb/rgb07.ppm,short,1,0.7817,149.8
zenbook,far,rgb,rgb/rgb07.ppm,full,1,0.9469,149.8
zenbook,far,ir,ir/frame00.pgm,short,0,,16.5
zenbook,far,ir,ir/frame00.pgm,full,1,0.8165,16.5
zenbook,far,ir,ir/frame01.pgm,short,0,,3.6
zenbook,far,ir,ir/frame01.pgm,full,0,,3.6
zenbook,far,ir,ir/frame02.pgm,short,0,,17.3
zenbook,far,ir,ir/frame02.pgm,full,1,0.8061,17.3
zenbook,far,ir,ir/frame03.pgm,short,0,,6.0
zenbook,far,ir,ir/frame03.pgm,full,0,,6.0
zenbook,far,ir,ir/frame04.pgm,short,0,,21.9
zenbook,far,ir,ir/frame04.pgm,full,1,0.8599,21.9
zenbook,far,ir,ir/frame05.pgm,short,0,,8.1
zenbook,far,ir,ir/frame05.pgm,full,0,,8.1
zenbook,far,ir,ir/frame06.pgm,short,0,,28.9
zenbook,far,ir,ir/frame06.pgm,full,1,0.8384,28.9
zenbook,far,ir,ir/frame07.pgm,short,0,,11.8
zenbook,far,ir,ir/frame07.pgm,full,0,,11.8
zenbook,far,ir,ir/frame08.pgm,short,0,,41.7
zenbook,far,ir,ir/frame08.pgm,full,1,0.8047,41.7
zenbook,far,ir,ir/frame09.pgm,short,0,,16.0
zenbook,far,ir,ir/frame09.pgm,full,0,,16.0
zenbook,far,ir,ir/frame10.pgm,short,0,,54.8
zenbook,far,ir,ir/frame10.pgm,full,1,0.7772,54.8
zenbook,far,ir,ir/frame11.pgm,short,0,,17.6
zenbook,far,ir,ir/frame11.pgm,full,0,,17.6
zenbook,far,ir,ir/frame12.pgm,short,0,,57.3
zenbook,far,ir,ir/frame12.pgm,full,1,0.8015,57.3
zenbook,far,ir,ir/frame13.pgm,short,0,,19.0
zenbook,far,ir,ir/frame13.pgm,full,0,,19.0
zenbook,far,ir,ir/frame14.pgm,short,0,,59.9
zenbook,far,ir,ir/frame14.pgm,full,1,0.8157,59.9
zenbook,far,ir,ir/frame15.pgm,short,0,,20.3
zenbook,far,ir,ir/frame15.pgm,full,0,,20.3
zenbook,far,ir,ir/frame16.pgm,short,0,,62.9
zenbook,far,ir,ir/frame16.pgm,full,1,0.8192,62.9
zenbook,far,ir,ir/frame17.pgm,short,0,,21.4
zenbook,far,ir,ir/frame17.pgm,full,0,,21.4
zenbook,far,ir,ir/frame18.pgm,short,0,,65.7
zenbook,far,ir,ir/frame18.pgm,full,1,0.8144,65.7
zenbook,far,ir,ir/frame19.pgm,short,0,,22.6
