segment,kind,frame,yunet_n,yunet_score,yunet_fsize,mesh_ok,ear_l,ear_r,span_x,span_y,blaze_score,blaze_fsize,mean
close,rgb,rgb/rgb00.ppm,1,0.9248,268.2414,true,0.0789,0.1050,207.0914,204.9777,0.9219,314.0412,136.1
close,rgb,rgb/rgb01.ppm,1,0.9229,271.2596,true,0.2816,0.3030,207.2292,207.3456,0.9277,322.2041,135.7
close,rgb,rgb/rgb02.ppm,1,0.9255,271.6534,true,0.2820,0.3130,208.0592,207.1098,0.9265,325.7507,136.9
close,rgb,rgb/rgb03.ppm,1,0.9270,272.5425,true,0.2757,0.2948,207.0896,204.1996,0.9371,330.0752,136.9
close,rgb,rgb/rgb04.ppm,1,0.9226,276.8391,true,0.2872,0.3117,207.2315,208.4174,0.9275,324.1339,136.8
close,rgb,rgb/rgb05.ppm,1,0.9244,272.3176,true,0.2841,0.3056,204.0519,207.7221,0.9284,318.0481,137.2
close,rgb,rgb/rgb06.ppm,1,0.9269,268.9600,true,0.2799,0.3031,205.0561,204.7199,0.9309,320.6147,137.4
close,rgb,rgb/rgb07.ppm,1,0.9272,277.1646,true,0.2696,0.2847,203.4097,200.8772,0.9326,324.0049,137.7
close,ir,ir/frame00.pgm,0,,,false,,,,,0.7723,293.3774,147.0
close,ir,ir/frame01.pgm,0,,,false,,,,,,,5.8
close,ir,ir/frame02.pgm,0,,,false,,,,,0.7735,290.8415,145.8
close,ir,ir/frame03.pgm,0,,,false,,,,,,,6.0
close,ir,ir/frame04.pgm,1,0.8167,257.5587,true,0.2198,0.2673,179.3195,165.0015,0.8097,287.0283,136.7
close,ir,ir/frame05.pgm,0,,,false,,,,,,,5.7
close,ir,ir/frame06.pgm,1,0.8494,267.2626,true,0.3032,0.3107,176.7894,181.5624,0.8272,271.2212,123.6
close,ir,ir/frame07.pgm,0,,,false,,,,,,,5.3
close,ir,ir/frame08.pgm,1,0.8807,269.6545,true,0.2722,0.2543,178.3641,180.7641,0.8655,270.0366,112.6
close,ir,ir/frame09.pgm,0,,,false,,,,,,,4.8
close,ir,ir/frame10.pgm,1,0.9230,258.3300,true,0.2604,0.2918,172.7690,182.5096,0.8595,271.0372,98.8
close,ir,ir/frame11.pgm,0,,,false,,,,,,,4.3
close,ir,ir/frame12.pgm,1,0.9327,254.7218,true,0.2732,0.2823,172.2405,180.6068,0.8740,270.4136,86.9
close,ir,ir/frame13.pgm,0,,,false,,,,,,,3.9
close,ir,ir/frame14.pgm,1,0.9362,250.8319,true,0.2674,0.2676,173.6162,178.9853,0.8949,268.2490,78.5
close,ir,ir/frame15.pgm,0,,,false,,,,,,,3.5
close,ir,ir/frame16.pgm,1,0.9383,248.9516,true,0.2546,0.2742,173.7254,182.5826,0.9031,264.5962,67.2
close,ir,ir/frame17.pgm,0,,,false,,,,,,,3.3
close,ir,ir/frame18.pgm,1,0.9392,247.6369,true,0.2589,0.2793,174.1447,180.2716,0.8988,264.4172,63.9
close,ir,ir/frame19.pgm,0,,,false,,,,,,,3.1
close,ir,ir/frame20.pgm,1,0.9388,247.1407,true,0.2507,0.2725,174.9493,182.3732,0.9052,262.8032,60.4
close,ir,ir/frame21.pgm,0,,,false,,,,,,,3.0
close,ir,ir/frame22.pgm,1,0.9398,247.9693,true,0.2497,0.2718,174.5397,182.4329,0.9041,262.3652,59.2
close,ir,ir/frame23.pgm,0,,,false,,,,,,,2.9
far,rgb,rgb/rgb00.ppm,1,0.9359,88.0397,true,0.3194,0.3234,58.5445,52.6183,0.6635,98.2218,147.9
far,rgb,rgb/rgb01.ppm,1,0.9335,86.0571,true,0.3209,0.3320,58.1545,52.6428,0.7081,90.0436,149.6
far,rgb,rgb/rgb02.ppm,1,0.9371,86.6571,true,0.3042,0.3263,58.2607,52.9664,0.7767,97.5394,150.2
far,rgb,rgb/rgb03.ppm,1,0.9336,87.6201,true,0.3217,0.3334,58.1980,52.3837,0.6905,100.3640,149.4
far,rgb,rgb/rgb04.ppm,1,0.9341,87.5135,true,0.2982,0.3168,58.3697,53.6738,0.7302,99.6340,149.4
far,rgb,rgb/rgb05.ppm,1,0.9312,88.3160,true,0.2963,0.3059,59.2159,53.3099,0.6546,109.6085,149.6
far,rgb,rgb/rgb06.ppm,1,0.9363,86.1850,true,0.3034,0.3216,57.8328,52.8735,0.7329,98.8900,149.7
far,rgb,rgb/rgb07.ppm,1,0.9341,86.2776,true,0.3269,0.3432,57.9927,52.7278,0.7407,97.0180,149.7
