camera,segment,kind,frame,onnx_score,native_score,score_delta,iou
zenbook,close,rgb,rgb/rgb00.ppm,0.921921,0.921921,0.000e0,1.000000
zenbook,close,rgb,rgb/rgb01.ppm,0.927656,0.927656,0.000e0,1.000000
zenbook,close,rgb,rgb/rgb02.ppm,0.926489,0.926489,0.000e0,1.000000
zenbook,close,rgb,rgb/rgb03.ppm,0.937099,0.937099,0.000e0,1.000000
zenbook,close,rgb,rgb/rgb04.ppm,0.927545,0.927545,0.000e0,1.000000
zenbook,close,rgb,rgb/rgb05.ppm,0.928439,0.928439,0.000e0,0.999999
zenbook,close,rgb,rgb/rgb06.ppm,0.930863,0.930863,0.000e0,1.000000
zenbook,close,rgb,rgb/rgb07.ppm,0.932575,0.932575,0.000e0,1.000000
zenbook,close,ir,ir/frame00.pgm,0.772274,0.772274,5.960e-8,1.000000
zenbook,close,ir,ir/frame01.pgm,0.358392,0.358392,2.086e-7,0.999998
zenbook,close,ir,ir/frame02.pgm,0.773530,0.773530,2.384e-7,1.000000
zenbook,close,ir,ir/frame03.pgm,0.353380,0.353381,3.278e-7,0.999999
zenbook,close,ir,ir/frame04.pgm,0.809728,0.809728,5.960e-8,1.000000
zenbook,close,ir,ir/frame05.pgm,0.339626,0.339627,2.682e-7,0.999999
zenbook,close,ir,ir/frame06.pgm,0.827206,0.827206,0.000e0,1.000000
zenbook,close,ir,ir/frame07.pgm,0.318128,0.318128,2.980e-8,0.999999
zenbook,close,ir,ir/frame08.pgm,0.865538,0.865538,0.000e0,1.000000
zenbook,close,ir,ir/frame09.pgm,0.308284,0.308284,2.980e-7,0.999999
zenbook,close,ir,ir/frame10.pgm,0.859511,0.859511,5.960e-8,1.000000
zenbook,close,ir,ir/frame11.pgm,0.302864,0.302864,3.278e-7,0.999998
zenbook,close,ir,ir/frame12.pgm,0.874041,0.874041,1.788e-7,1.000000
zenbook,close,ir,ir/frame13.pgm,0.305898,0.305899,7.749e-7,0.999998
zenbook,close,ir,ir/frame14.pgm,0.894927,0.894927,1.788e-7,0.999999
zenbook,close,ir,ir/frame15.pgm,0.316238,0.316239,3.576e-7,0.999998
zenbook,close,ir,ir/frame16.pgm,0.903113,0.903113,0.000e0,1.000000
zenbook,close,ir,ir/frame17.pgm,0.316963,0.316963,7.153e-7,0.999998
zenbook,close,ir,ir/frame18.pgm,0.898805,0.898805,5.960e-8,1.000000
zenbook,close,ir,ir/frame19.pgm,0.304973,0.304972,3.576e-7,0.999998
zenbook,close,ir,ir/frame20.pgm,0.905174,0.905174,1.192e-7,1.000000
zenbook,close,ir,ir/frame21.pgm,0.303416,0.303416,3.576e-7,0.999998
zenbook,close,ir,ir/frame22.pgm,0.904085,0.904085,0.000e0,1.000000
zenbook,close,ir,ir/frame23.pgm,0.298166,0.298165,5.364e-7,0.999998
zenbook,dim,rgb,rgb/rgb00.ppm,0.246497,0.246498,6.407e-7,0.999998
zenbook,dim,rgb,rgb/rgb01.ppm,0.698841,0.698841,0.000e0,0.999999
zenbook,dim,rgb,rgb/rgb02.ppm,0.740029,0.740029,5.960e-8,1.000000
zenbook,dim,rgb,rgb/rgb03.ppm,0.810138,0.810139,1.788e-7,0.999999
zenbook,dim,rgb,rgb/rgb04.ppm,0.797654,0.797655,6.557e-7,1.000000
zenbook,dim,rgb,rgb/rgb05.ppm,0.753078,0.753078,5.960e-7,0.999999
zenbook,dim,rgb,rgb/rgb06.ppm,0.829216,0.829217,1.788e-7,0.999999
zenbook,dim,rgb,rgb/rgb07.ppm,0.844825,0.844825,2.980e-7,0.999999
zenbook,dim,ir,ir/frame00.pgm,0.968274,0.968274,0.000e0,1.000000
zenbook,dim,ir,ir/frame01.pgm,0.038026,0.038026,3.725e-8,0.999999
zenbook,dim,ir,ir/frame02.pgm,0.959673,0.959673,1.192e-7,0.999999
zenbook,dim,ir,ir/frame03.pgm,0.038187,0.038187,7.451e-9,0.999997
zenbook,dim,ir,ir/frame04.pgm,0.957061,0.957061,5.960e-8,1.000000
zenbook,dim,ir,ir/frame05.pgm,0.037752,0.037752,7.078e-8,1.000000
zenbook,dim,ir,ir/frame06.pgm,0.965086,0.965086,0.000e0,1.000000
zenbook,dim,ir,ir/frame07.pgm,0.037841,0.037841,2.235e-8,0.999999
zenbook,dim,ir,ir/frame08.pgm,0.956675,0.956675,0.000e0,1.000000
zenbook,dim,ir,ir/frame09.pgm,0.037720,0.037720,1.639e-7,0.999998
zenbook,dim,ir,ir/frame10.pgm,0.036484,0.036484,4.470e-8,0.999997
zenbook,dim,ir,ir/frame11.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,dim,ir,ir/frame12.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,dim,ir,ir/frame13.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,dim,ir,ir/frame14.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,dim,ir,ir/frame15.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,dim,ir,ir/frame16.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,dim,ir,ir/frame17.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,dim,ir,ir/frame18.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,dim,ir,ir/frame19.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,dim,ir,ir/frame20.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,dim,ir,ir/frame21.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,dim,ir,ir/frame22.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,dim,ir,ir/frame23.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,rgb,rgb/rgb00.ppm,0.242720,0.242721,1.162e-6,0.999998
zenbook,empty-dim,rgb,rgb/rgb01.ppm,0.301003,0.301005,1.311e-6,0.999999
zenbook,empty-dim,rgb,rgb/rgb02.ppm,0.355223,0.355224,1.073e-6,0.999999
zenbook,empty-dim,rgb,rgb/rgb03.ppm,0.276951,0.276952,6.258e-7,0.999996
zenbook,empty-dim,rgb,rgb/rgb04.ppm,0.353737,0.353737,4.172e-7,0.999999
zenbook,empty-dim,rgb,rgb/rgb05.ppm,0.302813,0.302814,6.855e-7,0.999996
zenbook,empty-dim,rgb,rgb/rgb06.ppm,0.321365,0.321366,1.222e-6,0.999999
zenbook,empty-dim,rgb,rgb/rgb07.ppm,0.354057,0.354057,3.576e-7,0.999999
zenbook,empty-dim,ir,ir/frame00.pgm,0.034170,0.034170,2.235e-8,0.999999
zenbook,empty-dim,ir,ir/frame01.pgm,0.032471,0.032471,1.378e-7,0.999999
zenbook,empty-dim,ir,ir/frame02.pgm,0.034170,0.034170,2.235e-8,0.999999
zenbook,empty-dim,ir,ir/frame03.pgm,0.032520,0.032520,1.155e-7,0.999999
zenbook,empty-dim,ir,ir/frame04.pgm,0.034170,0.034170,2.235e-8,0.999999
zenbook,empty-dim,ir,ir/frame05.pgm,0.032694,0.032694,1.490e-7,0.999999
zenbook,empty-dim,ir,ir/frame06.pgm,0.034170,0.034170,2.235e-8,0.999999
zenbook,empty-dim,ir,ir/frame07.pgm,0.032642,0.032642,1.490e-7,0.999999
zenbook,empty-dim,ir,ir/frame08.pgm,0.034170,0.034170,2.235e-8,0.999999
zenbook,empty-dim,ir,ir/frame09.pgm,0.032643,0.032643,1.229e-7,0.999999
zenbook,empty-dim,ir,ir/frame10.pgm,0.037124,0.037124,1.863e-8,0.999999
zenbook,empty-dim,ir,ir/frame11.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,ir,ir/frame12.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,ir,ir/frame13.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,ir,ir/frame14.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,ir,ir/frame15.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,ir,ir/frame16.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,ir,ir/frame17.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,ir,ir/frame18.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,ir,ir/frame19.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,ir,ir/frame20.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,ir,ir/frame21.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,ir,ir/frame22.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-dim,ir,ir/frame23.pgm,0.035632,0.035632,8.941e-8,0.999999
zenbook,empty-lit,rgb,rgb/rgb00.ppm,0.431065,0.431065,2.086e-7,0.999999
zenbook,empty-lit,rgb,rgb/rgb01.ppm,0.141810,0.141810,1.490e-7,0.999999
zenbook,empty-lit,rgb,rgb/rgb02.ppm,0.189886,0.189886,7.451e-8,1.000000
zenbook,empty-lit,rgb,rgb/rgb03.ppm,0.324705,0.324705,0.000e0,1.000000
zenbook,empty-lit,rgb,rgb/rgb04.ppm,0.318590,0.318590,4.172e-7,1.000000
zenbook,empty-lit,rgb,rgb/rgb05.ppm,0.250127,0.250127,0.000e0,0.999998
zenbook,empty-lit,rgb,rgb/rgb06.ppm,0.179619,0.179618,2.384e-7,0.999999
zenbook,empty-lit,rgb,rgb/rgb07.ppm,0.298788,0.298789,5.662e-7,1.000000
zenbook,empty-lit,ir,ir/frame00.pgm,0.138998,0.138998,3.725e-7,0.999999
zenbook,empty-lit,ir,ir/frame01.pgm,0.354992,0.354992,1.192e-7,0.999999
zenbook,empty-lit,ir,ir/frame02.pgm,0.339457,0.339457,5.960e-8,0.999999
zenbook,empty-lit,ir,ir/frame03.pgm,0.327902,0.327902,2.384e-7,0.999999
zenbook,empty-lit,ir,ir/frame04.pgm,0.203405,0.203405,1.192e-7,1.000000
zenbook,empty-lit,ir,ir/frame05.pgm,0.243692,0.243692,1.639e-7,1.000000
zenbook,empty-lit,ir,ir/frame06.pgm,0.307420,0.307420,8.941e-8,0.999999
zenbook,empty-lit,ir,ir/frame07.pgm,0.211698,0.211698,4.172e-7,0.999999
zenbook,empty-lit,ir,ir/frame08.pgm,0.294504,0.294504,0.000e0,1.000000
zenbook,empty-lit,ir,ir/frame09.pgm,0.376635,0.376635,5.960e-8,0.999999
zenbook,empty-lit,ir,ir/frame10.pgm,0.302714,0.302714,2.682e-7,1.000000
zenbook,empty-lit,ir,ir/frame11.pgm,0.266199,0.266199,5.960e-8,0.999999
zenbook,empty-lit,ir,ir/frame12.pgm,0.263238,0.263238,5.960e-8,1.000000
zenbook,empty-lit,ir,ir/frame13.pgm,0.263387,0.263387,0.000e0,0.999999
zenbook,empty-lit,ir,ir/frame14.pgm,0.292110,0.292110,2.980e-8,1.000000
zenbook,empty-lit,ir,ir/frame15.pgm,0.259193,0.259193,5.960e-8,0.999999
zenbook,empty-lit,ir,ir/frame16.pgm,0.257873,0.257873,2.980e-8,1.000000
zenbook,empty-lit,ir,ir/frame17.pgm,0.197053,0.197053,1.490e-8,0.999999
zenbook,empty-lit,ir,ir/frame18.pgm,0.288347,0.288347,1.192e-7,1.000000
zenbook,empty-lit,ir,ir/frame19.pgm,0.232946,0.232946,8.941e-8,1.000000
zenbook,empty-lit,ir,ir/frame20.pgm,0.277897,0.277897,2.682e-7,1.000000
zenbook,empty-lit,ir,ir/frame21.pgm,0.230075,0.230076,3.129e-7,1.000000
zenbook,empty-lit,ir,ir/frame22.pgm,0.319398,0.319398,4.470e-7,1.000000
zenbook,empty-lit,ir,ir/frame23.pgm,0.226989,0.226990,4.470e-7,1.000000
zenbook,far,rgb,rgb/rgb00.ppm,0.663498,0.663498,5.960e-7,1.000000
zenbook,far,rgb,rgb/rgb01.ppm,0.708086,0.708086,5.960e-8,0.999999
zenbook,far,rgb,rgb/rgb02.ppm,0.776694,0.776694,1.192e-7,0.999998
zenbook,far,rgb,rgb/rgb03.ppm,0.690514,0.690514,2.384e-7,0.999998
zenbook,far,rgb,rgb/rgb04.ppm,0.730203,0.730203,2.384e-7,1.000000
zenbook,far,rgb,rgb/rgb05.ppm,0.654575,0.654575,5.960e-8,1.000000
zenbook,far,rgb,rgb/rgb06.ppm,0.732871,0.732871,5.960e-8,0.999999
zenbook,far,rgb,rgb/rgb07.ppm,0.740658,0.740658,2.980e-7,0.999999
zenbook,far,ir,ir/frame00.pgm,0.354405,0.354406,1.073e-6,0.999998
zenbook,far,ir,ir/frame01.pgm,0.324071,0.324071,1.192e-7,0.999999
zenbook,far,ir,ir/frame02.pgm,0.330660,0.330662,1.520e-6,0.999998
zenbook,far,ir,ir/frame03.pgm,0.228467,0.228467,1.490e-7,0.999999
zenbook,far,ir,ir/frame04.pgm,0.364278,0.364277,1.311e-6,0.999997
