camera,segment,kind,frame,ear_left,ear_right,blink_left,blink_right,jaw_open,brow_inner_up
zenbook,close,rgb,rgb/rgb00.ppm,0.0789,0.1049,0.4459,0.5707,0.0377,0.0004
zenbook,close,rgb,rgb/rgb01.ppm,0.2816,0.3030,0.1081,0.0746,0.0052,0.0018
zenbook,close,rgb,rgb/rgb02.ppm,0.2820,0.3130,0.0741,0.0717,0.0037,0.0014
zenbook,close,rgb,rgb/rgb03.ppm,0.2757,0.2948,0.1008,0.0773,0.0094,0.0012
zenbook,close,rgb,rgb/rgb04.ppm,0.2872,0.3117,0.0870,0.0615,0.0125,0.0031
zenbook,close,rgb,rgb/rgb05.ppm,0.2841,0.3056,0.0993,0.0646,0.0131,0.0021
zenbook,close,rgb,rgb/rgb06.ppm,0.2799,0.3031,0.0743,0.0704,0.0305,0.0020
zenbook,close,rgb,rgb/rgb07.ppm,0.2696,0.2847,0.1336,0.1054,0.0053,0.0017
zenbook,close,ir,ir/frame00.pgm,,,,,,
zenbook,close,ir,ir/frame01.pgm,,,,,,
zenbook,close,ir,ir/frame02.pgm,,,,,,
zenbook,close,ir,ir/frame03.pgm,,,,,,
zenbook,close,ir,ir/frame04.pgm,0.2198,0.2673,0.2215,0.2788,0.0094,0.0002
zenbook,close,ir,ir/frame05.pgm,,,,,,
zenbook,close,ir,ir/frame06.pgm,0.3032,0.3107,0.1169,0.1316,0.0173,0.0003
zenbook,close,ir,ir/frame07.pgm,,,,,,
zenbook,close,ir,ir/frame08.pgm,0.2722,0.2543,0.2256,0.1475,0.0158,0.0002
zenbook,close,ir,ir/frame09.pgm,,,,,,
zenbook,close,ir,ir/frame10.pgm,0.2604,0.2918,0.0832,0.1514,0.1276,0.0001
zenbook,close,ir,ir/frame11.pgm,,,,,,
zenbook,close,ir,ir/frame12.pgm,0.2732,0.2823,0.0874,0.1179,0.0835,0.0001
zenbook,close,ir,ir/frame13.pgm,,,,,,
zenbook,close,ir,ir/frame14.pgm,0.2674,0.2676,0.1127,0.1289,0.0476,0.0001
zenbook,close,ir,ir/frame15.pgm,,,,,,
zenbook,close,ir,ir/frame16.pgm,0.2546,0.2743,0.1125,0.1596,0.0799,0.0001
zenbook,close,ir,ir/frame17.pgm,,,,,,
zenbook,close,ir,ir/frame18.pgm,0.2589,0.2793,0.1199,0.1610,0.0331,0.0001
zenbook,close,ir,ir/frame19.pgm,,,,,,
zenbook,close,ir,ir/frame20.pgm,0.2507,0.2725,0.1272,0.1823,0.0765,0.0001
zenbook,close,ir,ir/frame21.pgm,,,,,,
zenbook,close,ir,ir/frame22.pgm,0.2497,0.2718,0.1324,0.1829,0.1175,0.0001
zenbook,close,ir,ir/frame23.pgm,,,,,,
zenbook,dim,rgb,rgb/rgb00.ppm,,,,,,
zenbook,dim,rgb,rgb/rgb01.ppm,,,,,,
zenbook,dim,rgb,rgb/rgb02.ppm,,,,,,
zenbook,dim,rgb,rgb/rgb03.ppm,,,,,,
zenbook,dim,rgb,rgb/rgb04.ppm,,,,,,
zenbook,dim,rgb,rgb/rgb05.ppm,,,,,,
zenbook,dim,rgb,rgb/rgb06.ppm,0.3221,0.3014,0.1974,0.0215,0.0004,0.0020
zenbook,dim,rgb,rgb/rgb07.ppm,0.3266,0.3354,0.1654,0.0514,0.0002,0.0025
zenbook,dim,ir,ir/frame00.pgm,0.2611,0.2812,0.1168,0.0997,0.0741,0.0001
zenbook,dim,ir,ir/frame01.pgm,,,,,,
zenbook,dim,ir,ir/frame02.pgm,0.2610,0.2783,0.1167,0.1113,0.0713,0.0001
zenbook,dim,ir,ir/frame03.pgm,,,,,,
zenbook,dim,ir,ir/frame04.pgm,0.2829,0.2888,0.1442,0.1011,0.0031,0.0003
zenbook,dim,ir,ir/frame05.pgm,,,,,,
zenbook,dim,ir,ir/frame06.pgm,0.2632,0.2789,0.1400,0.1130,0.0371,0.0002
zenbook,dim,ir,ir/frame07.pgm,,,,,,
zenbook,dim,ir,ir/frame08.pgm,0.2691,0.2823,0.1429,0.1187,0.0018,0.0002
zenbook,dim,ir,ir/frame09.pgm,,,,,,
zenbook,dim,ir,ir/frame10.pgm,,,,,,
zenbook,dim,ir,ir/frame11.pgm,,,,,,
zenbook,dim,ir,ir/frame12.pgm,,,,,,
zenbook,dim,ir,ir/frame13.pgm,,,,,,
zenbook,dim,ir,ir/frame14.pgm,,,,,,
zenbook,dim,ir,ir/frame15.pgm,,,,,,
zenbook,dim,ir,ir/frame16.pgm,,,,,,
zenbook,dim,ir,ir/frame17.pgm,,,,,,
zenbook,dim,ir,ir/frame18.pgm,,,,,,
zenbook,dim,ir,ir/frame19.pgm,,,,,,
zenbook,dim,ir,ir/frame20.pgm,,,,,,
zenbook,dim,ir,ir/frame21.pgm,,,,,,
zenbook,dim,ir,ir/frame22.pgm,,,,,,
zenbook,dim,ir,ir/frame23.pgm,,,,,,
zenbook,empty-dim,rgb,rgb/rgb00.ppm,,,,,,
zenbook,empty-dim,rgb,rgb/rgb01.ppm,,,,,,
zenbook,empty-dim,rgb,rgb/rgb02.ppm,,,,,,
zenbook,empty-dim,rgb,rgb/rgb03.ppm,,,,,,
zenbook,empty-dim,rgb,rgb/rgb04.ppm,,,,,,
zenbook,empty-dim,rgb,rgb/rgb05.ppm,,,,,,
zenbook,empty-dim,rgb,rgb/rgb06.ppm,,,,,,
zenbook,empty-dim,rgb,rgb/rgb07.ppm,,,,,,
zenbook,empty-dim,ir,ir/frame00.pgm,,,,,,
zenbook,empty-dim,ir,ir/frame01.pgm,,,,,,
zenbook,empty-dim,ir,ir/frame02.pgm,,,,,,
zenbook,empty-dim,ir,ir/frame03.pgm,,,,,,
zenbook,empty-dim,ir,ir/frame04.pgm,,,,,,
zenbook,empty-dim,ir,ir/frame05.pgm,,,,,,
zenbook,empty-dim,ir,ir/frame06.pgm,,,,,,
zenbook,empty-dim,ir,ir/frame07.pgm,,,,,,
zenbook,empty-dim,ir,ir/frame08.pgm,,,,,,
zenbook,empty-dim,ir,ir/frame09.pgm,,,,,,
zenbook,empty-dim,ir,ir/frame10.pgm,,,,,,
zenbook,empty-dim,ir,ir/frame11.pgm,,,,,,
zenbook,empty-dim,ir,ir/frame12.pgm,,,,,,
zenbook,empty-dim,ir,ir/frame13.pgm,,,,,,
zenbook,empty-dim,ir,ir/frame14.pgm,,,,,,
zenbook,empty-dim,ir,ir/frame15.pgm,,,,,,
zenbook,empty-dim,ir,ir/frame16.pgm,,,,,,
zenbook,empty-dim,ir,ir/frame17.pgm,,,,,,
zenbook,empty-dim,ir,ir/frame18.pgm,,,,,,
zenbook,empty-dim,ir,ir/frame19.pgm,,,,,,
zenbook,empty-dim,ir,ir/frame20.pgm,,,,,,
zenbook,empty-dim,ir,ir/frame21.pgm,,,,,,
