camera,segment,kind,frame,eye_px,nme,max_px
zenbook,close,rgb,rgb/rgb00.ppm,211.2,6.329e-7,0.0006
zenbook,close,rgb,rgb/rgb01.ppm,205.2,6.931e-7,0.0006
zenbook,close,rgb,rgb/rgb02.ppm,205.2,6.517e-7,0.0005
zenbook,close,rgb,rgb/rgb03.ppm,204.1,6.568e-7,0.0004
zenbook,close,rgb,rgb/rgb04.ppm,204.6,6.869e-7,0.0005
zenbook,close,rgb,rgb/rgb05.ppm,201.1,6.750e-7,0.0005
zenbook,close,rgb,rgb/rgb06.ppm,202.6,6.316e-7,0.0005
zenbook,close,rgb,rgb/rgb07.ppm,200.7,6.666e-7,0.0004
zenbook,close,ir,ir/frame00.pgm,,,
zenbook,close,ir,ir/frame01.pgm,,,
zenbook,close,ir,ir/frame02.pgm,,,
zenbook,close,ir,ir/frame03.pgm,,,
zenbook,close,ir,ir/frame04.pgm,176.9,6.828e-7,0.0005
zenbook,close,ir,ir/frame05.pgm,,,
zenbook,close,ir,ir/frame06.pgm,176.3,6.908e-7,0.0005
zenbook,close,ir,ir/frame07.pgm,,,
zenbook,close,ir,ir/frame08.pgm,177.5,6.997e-7,0.0003
zenbook,close,ir,ir/frame09.pgm,,,
zenbook,close,ir,ir/frame10.pgm,171.4,6.655e-7,0.0004
zenbook,close,ir,ir/frame11.pgm,,,
zenbook,close,ir,ir/frame12.pgm,170.9,6.422e-7,0.0004
zenbook,close,ir,ir/frame13.pgm,,,
zenbook,close,ir,ir/frame14.pgm,171.8,6.388e-7,0.0004
zenbook,close,ir,ir/frame15.pgm,,,
zenbook,close,ir,ir/frame16.pgm,172.4,6.899e-7,0.0004
zenbook,close,ir,ir/frame17.pgm,,,
zenbook,close,ir,ir/frame18.pgm,172.5,6.528e-7,0.0003
zenbook,close,ir,ir/frame19.pgm,,,
zenbook,close,ir,ir/frame20.pgm,173.3,6.545e-7,0.0004
zenbook,close,ir,ir/frame21.pgm,,,
zenbook,close,ir,ir/frame22.pgm,172.6,6.298e-7,0.0004
zenbook,close,ir,ir/frame23.pgm,,,
zenbook,dim,rgb,rgb/rgb00.ppm,,,
zenbook,dim,rgb,rgb/rgb01.ppm,,,
zenbook,dim,rgb,rgb/rgb02.ppm,,,
zenbook,dim,rgb,rgb/rgb03.ppm,,,
zenbook,dim,rgb,rgb/rgb04.ppm,,,
zenbook,dim,rgb,rgb/rgb05.ppm,,,
zenbook,dim,rgb,rgb/rgb06.ppm,156.0,7.427e-7,0.0004
zenbook,dim,rgb,rgb/rgb07.ppm,154.8,7.391e-7,0.0004
zenbook,dim,ir,ir/frame00.pgm,111.2,6.844e-7,0.0002
zenbook,dim,ir,ir/frame01.pgm,,,
zenbook,dim,ir,ir/frame02.pgm,110.4,7.032e-7,0.0003
zenbook,dim,ir,ir/frame03.pgm,,,
zenbook,dim,ir,ir/frame04.pgm,109.8,6.616e-7,0.0002
zenbook,dim,ir,ir/frame05.pgm,,,
zenbook,dim,ir,ir/frame06.pgm,110.4,7.118e-7,0.0002
zenbook,dim,ir,ir/frame07.pgm,,,
zenbook,dim,ir,ir/frame08.pgm,111.7,6.679e-7,0.0002
zenbook,dim,ir,ir/frame09.pgm,,,
zenbook,dim,ir,ir/frame10.pgm,,,
zenbook,dim,ir,ir/frame11.pgm,,,
zenbook,dim,ir,ir/frame12.pgm,,,
zenbook,dim,ir,ir/frame13.pgm,,,
zenbook,dim,ir,ir/frame14.pgm,,,
zenbook,dim,ir,ir/frame15.pgm,,,
zenbook,dim,ir,ir/frame16.pgm,,,
zenbook,dim,ir,ir/frame17.pgm,,,
zenbook,dim,ir,ir/frame18.pgm,,,
zenbook,dim,ir,ir/frame19.pgm,,,
zenbook,dim,ir,ir/frame20.pgm,,,
zenbook,dim,ir,ir/frame21.pgm,,,
zenbook,dim,ir,ir/frame22.pgm,,,
zenbook,dim,ir,ir/frame23.pgm,,,
zenbook,empty-dim,rgb,rgb/rgb00.ppm,,,
zenbook,empty-dim,rgb,rgb/rgb01.ppm,,,
zenbook,empty-dim,rgb,rgb/rgb02.ppm,,,
zenbook,empty-dim,rgb,rgb/rgb03.ppm,,,
zenbook,empty-dim,rgb,rgb/rgb04.ppm,,,
zenbook,empty-dim,rgb,rgb/rgb05.ppm,,,
zenbook,empty-dim,rgb,rgb/rgb06.ppm,,,
zenbook,empty-dim,rgb,rgb/rgb07.ppm,,,
zenbook,empty-dim,ir,ir/frame00.pgm,,,
zenbook,empty-dim,ir,ir/frame01.pgm,,,
zenbook,empty-dim,ir,ir/frame02.pgm,,,
zenbook,empty-dim,ir,ir/frame03.pgm,,,
zenbook,empty-dim,ir,ir/frame04.pgm,,,
zenbook,empty-dim,ir,ir/frame05.pgm,,,
zenbook,empty-dim,ir,ir/frame06.pgm,,,
zenbook,empty-dim,ir,ir/frame07.pgm,,,
zenbook,empty-dim,ir,ir/frame08.pgm,,,
zenbook,empty-dim,ir,ir/frame09.pgm,,,
zenbook,empty-dim,ir,ir/frame10.pgm,,,
zenbook,empty-dim,ir,ir/frame11.pgm,,,
zenbook,empty-dim,ir,ir/frame12.pgm,,,
zenbook,empty-dim,ir,ir/frame13.pgm,,,
zenbook,empty-dim,ir,ir/frame14.pgm,,,
zenbook,empty-dim,ir,ir/frame15.pgm,,,
zenbook,empty-dim,ir,ir/frame16.pgm,,,
zenbook,empty-dim,ir,ir/frame17.pgm,,,
zenbook,empty-dim,ir,ir/frame18.pgm,,,
zenbook,empty-dim,ir,ir/frame19.pgm,,,
zenbook,empty-dim,ir,ir/frame20.pgm,,,
zenbook,empty-dim,ir,ir/frame21.pgm,,,
zenbook,empty-dim,ir,ir/frame22.pgm,,,
zenbook,empty-dim,ir,ir/frame23.pgm,,,
zenbook,empty-lit,rgb,rgb/rgb00.ppm,,,
zenbook,empty-lit,rgb,rgb/rgb01.ppm,,,
zenbook,empty-lit,rgb,rgb/rgb02.ppm,,,
zenbook,empty-lit,rgb,rgb/rgb03.ppm,,,
zenbook,empty-lit,rgb,rgb/rgb04.ppm,,,
zenbook,empty-lit,rgb,rgb/rgb05.ppm,,,
zenbook,empty-lit,rgb,rgb/rgb06.ppm,,,
zenbook,empty-lit,rgb,rgb/rgb07.ppm,,,
zenbook,empty-lit,ir,ir/frame00.pgm,,,
zenbook,empty-lit,ir,ir/frame01.pgm,,,
zenbook,empty-lit,ir,ir/frame02.pgm,,,
zenbook,empty-lit,ir,ir/frame03.pgm,,,
zenbook,empty-lit,ir,ir/frame04.pgm,,,
zenbook,empty-lit,ir,ir/frame05.pgm,,,
zenbook,empty-lit,ir,ir/frame06.pgm,,,
zenbook,empty-lit,ir,ir/frame07.pgm,,,
zenbook,empty-lit,ir,ir/frame08.pgm,,,
zenbook,empty-lit,ir,ir/frame09.pgm,,,
zenbook,empty-lit,ir,ir/frame10.pgm,,,
zenbook,empty-lit,ir,ir/frame11.pgm,,,
zenbook,empty-lit,ir,ir/frame12.pgm,,,
zenbook,empty-lit,ir,ir/frame13.pgm,,,
zenbook,empty-lit,ir,ir/frame14.pgm,,,
zenbook,empty-lit,ir,ir/frame15.pgm,,,
zenbook,empty-lit,ir,ir/frame16.pgm,,,
zenbook,empty-lit,ir,ir/frame17.pgm,,,
zenbook,empty-lit,ir,ir/frame18.pgm,,,
zenbook,empty-lit,ir,ir/frame19.pgm,,,
zenbook,empty-lit,ir,ir/frame20.pgm,,,
zenbook,empty-lit,ir,ir/frame21.pgm,,,
zenbook,empty-lit,ir,ir/frame22.pgm,,,
zenbook,empty-lit,ir,ir/frame23.pgm,,,
zenbook,far,rgb,rgb/rgb00.ppm,57.7,6.519e-7,0.0001
zenbook,far,rgb,rgb/rgb01.ppm,56.9,6.542e-7,0.0001
zenbook,far,rgb,rgb/rgb02.ppm,57.7,6.458e-7,0.0001
zenbook,far,rgb,rgb/rgb03.ppm,57.2,6.267e-7,0.0001
zenbook,far,rgb,rgb/rgb04.ppm,57.2,6.481e-7,0.0001
zenbook,far,rgb,rgb/rgb05.ppm,57.9,6.401e-7,0.0001
