stage,model,runtime,threads,mean_ms,p50_ms,p95_ms
detection,yunet,ort,0,13.119,12.101,23.670
detection-rescue,blaze_short,ort,0,4.234,3.162,11.888
detection-rescue,blaze_short,tflite,1,2.562,2.274,4.024
detection-rescue,blaze_short,tflite,2,2.766,1.976,4.650
detection-rescue,blaze_short,tflite,4,1.229,1.207,1.503
detection-rescue,blaze_full_range,tflite,2,4.292,4.199,5.225
landmarks,face_landmark_468,ort,0,10.344,9.899,15.534
landmarks,face_landmarks_478,tflite,1,8.281,8.018,9.510
landmarks,face_landmarks_478,tflite,2,5.793,5.685,6.960
landmarks,face_landmarks_478,tflite,4,3.919,3.847,4.645
blendshapes,face_blendshapes,tflite,1,1.720,1.709,1.767
