camera,segment,kind,frame,ear_left,ear_right,blink_left,blink_right,jaw_open,brow_inner_up
zenbook,held-closure,rgb,rgb/rgb00.ppm,0.0562,0.0501,0.6861,0.6228,0.0004,0.0031
zenbook,held-closure,rgb,rgb/rgb01.ppm,0.0603,0.0819,0.6329,0.6304,0.0002,0.0020
zenbook,held-closure,rgb,rgb/rgb02.ppm,0.0589,0.0771,0.6143,0.6393,0.0002,0.0026
zenbook,held-closure,rgb,rgb/rgb03.ppm,0.0370,0.0361,0.7105,0.6825,0.0002,0.0019
zenbook,held-closure,rgb,rgb/rgb04.ppm,0.0425,0.0517,0.6491,0.6797,0.0003,0.0019
zenbook,held-closure,rgb,rgb/rgb05.ppm,0.0634,0.0772,0.5976,0.6544,0.0003,0.0017
zenbook,held-closure,rgb,rgb/rgb06.ppm,0.0550,0.0625,0.6564,0.6451,0.0003,0.0018
zenbook,held-closure,rgb,rgb/rgb07.ppm,0.1128,0.0808,0.6055,0.5441,0.0003,0.0009
zenbook,held-closure,rgb,rgb/rgb08.ppm,0.0715,0.0628,0.6589,0.6143,0.0002,0.0014
zenbook,held-closure,rgb,rgb/rgb09.ppm,0.0532,0.0569,0.6835,0.6635,0.0002,0.0015
zenbook,held-closure,rgb,rgb/rgb10.ppm,0.0528,0.0636,0.6489,0.6678,0.0003,0.0014
zenbook,held-closure,rgb,rgb/rgb11.ppm,0.1116,0.0859,0.5839,0.5744,0.0003,0.0009
zenbook,held-closure,rgb,rgb/rgb12.ppm,0.0835,0.0489,0.6530,0.6110,0.0006,0.0009
zenbook,held-closure,rgb,rgb/rgb13.ppm,0.0722,0.0739,0.6417,0.6118,0.0004,0.0007
zenbook,held-closure,rgb,rgb/rgb14.ppm,0.0688,0.0569,0.6629,0.6464,0.0002,0.0008
zenbook,held-closure,rgb,rgb/rgb15.ppm,0.0765,0.0917,0.5778,0.6014,0.0002,0.0013
zenbook,held-closure,rgb,rgb/rgb16.ppm,0.0558,0.0755,0.5993,0.6701,0.0005,0.0007
zenbook,held-closure,rgb,rgb/rgb17.ppm,0.0700,0.0770,0.6250,0.6370,0.0003,0.0014
zenbook,held-closure,rgb,rgb/rgb18.ppm,0.1002,0.0899,0.5525,0.5647,0.0003,0.0010
zenbook,held-closure,rgb,rgb/rgb19.ppm,0.0897,0.0858,0.5941,0.6099,0.0003,0.0007
zenbook,held-closure,rgb,rgb/rgb20.ppm,0.0940,0.0614,0.6260,0.5608,0.0004,0.0006
zenbook,held-closure,rgb,rgb/rgb21.ppm,0.0872,0.0622,0.6196,0.6097,0.0004,0.0005
zenbook,held-closure,rgb,rgb/rgb22.ppm,0.0911,0.0576,0.6434,0.6148,0.0003,0.0008
zenbook,held-closure,rgb,rgb/rgb23.ppm,0.0879,0.0903,0.5599,0.6009,0.0003,0.0008
zenbook,held-closure,ir,ir/frame00.pgm,0.0830,0.0511,0.6805,0.5904,0.0131,0.0014
zenbook,held-closure,ir,ir/frame01.pgm,,,,,,
zenbook,held-closure,ir,ir/frame02.pgm,0.0796,0.0474,0.6731,0.5979,0.0204,0.0015
zenbook,held-closure,ir,ir/frame03.pgm,,,,,,
zenbook,held-closure,ir,ir/frame04.pgm,0.0778,0.0577,0.6319,0.6068,0.0203,0.0024
zenbook,held-closure,ir,ir/frame05.pgm,,,,,,
zenbook,held-closure,ir,ir/frame06.pgm,0.0351,0.0448,0.6497,0.7096,0.0009,0.0027
zenbook,held-closure,ir,ir/frame07.pgm,,,,,,
zenbook,held-closure,ir,ir/frame08.pgm,0.0350,0.0457,0.6466,0.7076,0.0009,0.0029
zenbook,held-closure,ir,ir/frame09.pgm,,,,,,
zenbook,held-closure,ir,ir/frame10.pgm,0.0770,0.0450,0.6616,0.6154,0.0081,0.0020
zenbook,held-closure,ir,ir/frame11.pgm,,,,,,
zenbook,held-closure,ir,ir/frame12.pgm,0.0842,0.0507,0.6465,0.5949,0.0091,0.0020
zenbook,held-closure,ir,ir/frame13.pgm,,,,,,
zenbook,held-closure,ir,ir/frame14.pgm,0.0875,0.0552,0.6286,0.5931,0.0296,0.0018
zenbook,held-closure,ir,ir/frame15.pgm,,,,,,
zenbook,held-closure,ir,ir/frame16.pgm,0.0873,0.0583,0.6225,0.5894,0.0171,0.0021
zenbook,held-closure,ir,ir/frame17.pgm,,,,,,
zenbook,held-closure,ir,ir/frame18.pgm,0.0610,0.0443,0.6604,0.6486,0.0022,0.0027
zenbook,held-closure,ir,ir/frame19.pgm,,,,,,
zenbook,held-closure,ir,ir/frame20.pgm,0.0466,0.0484,0.6494,0.6781,0.0024,0.0027
zenbook,held-closure,ir,ir/frame21.pgm,,,,,,
zenbook,held-closure,ir,ir/frame22.pgm,0.0509,0.0492,0.6285,0.6662,0.0057,0.0034
zenbook,held-closure,ir,ir/frame23.pgm,,,,,,
zenbook,held-closure-glasses,rgb,rgb/rgb00.ppm,0.2737,0.2882,0.1040,0.1255,0.0006,0.0450
zenbook,held-closure-glasses,rgb,rgb/rgb01.ppm,0.2831,0.3004,0.0811,0.1037,0.0005,0.0340
zenbook,held-closure-glasses,rgb,rgb/rgb02.ppm,0.2754,0.2974,0.0911,0.1143,0.0006,0.0350
zenbook,held-closure-glasses,rgb,rgb/rgb03.ppm,0.2682,0.2939,0.0735,0.1194,0.0009,0.0166
zenbook,held-closure-glasses,rgb,rgb/rgb04.ppm,0.2854,0.3050,0.0919,0.0993,0.0006,0.0324
zenbook,held-closure-glasses,rgb,rgb/rgb05.ppm,0.2830,0.3151,0.0726,0.1098,0.0006,0.0455
zenbook,held-closure-glasses,rgb,rgb/rgb06.ppm,0.2560,0.2861,0.1380,0.1809,0.0004,0.0352
zenbook,held-closure-glasses,rgb,rgb/rgb07.ppm,0.2476,0.2747,0.1403,0.1636,0.0013,0.0412
zenbook,held-closure-glasses,rgb,rgb/rgb08.ppm,0.2760,0.2979,0.0782,0.0927,0.0012,0.0150
zenbook,held-closure-glasses,rgb,rgb/rgb09.ppm,0.2785,0.3091,0.0767,0.0845,0.0014,0.0258
zenbook,held-closure-glasses,rgb,rgb/rgb10.ppm,0.2682,0.3014,0.0854,0.1190,0.0010,0.0232
zenbook,held-closure-glasses,rgb,rgb/rgb11.ppm,0.2521,0.2852,0.1270,0.1935,0.0004,0.0454
zenbook,held-closure-glasses,rgb,rgb/rgb12.ppm,0.2909,0.3063,0.0584,0.0576,0.0011,0.0101
zenbook,held-closure-glasses,rgb,rgb/rgb13.ppm,0.2794,0.3049,0.0746,0.0936,0.0013,0.0197
zenbook,held-closure-glasses,rgb,rgb/rgb14.ppm,0.2640,0.2934,0.0939,0.0975,0.0059,0.0233
zenbook,held-closure-glasses,rgb,rgb/rgb15.ppm,0.2570,0.2851,0.1248,0.1496,0.0006,0.0238
zenbook,held-closure-glasses,rgb,rgb/rgb16.ppm,0.2572,0.2880,0.1071,0.1739,0.0006,0.0282
zenbook,held-closure-glasses,rgb,rgb/rgb17.ppm,0.2626,0.2873,0.0963,0.1353,0.0016,0.0218
zenbook,held-closure-glasses,rgb,rgb/rgb18.ppm,0.2866,0.3032,0.0795,0.0783,0.0006,0.0247
zenbook,held-closure-glasses,rgb,rgb/rgb19.ppm,0.2828,0.3008,0.0802,0.0992,0.0005,0.0276
zenbook,held-closure-glasses,rgb,rgb/rgb20.ppm,0.2840,0.3065,0.0841,0.0855,0.0012,0.0480
zenbook,held-closure-glasses,rgb,rgb/rgb21.ppm,0.2715,0.2953,0.0896,0.1222,0.0006,0.0442
zenbook,held-closure-glasses,rgb,rgb/rgb22.ppm,0.2855,0.3087,0.0637,0.0859,0.0006,0.0274
