stage,model,runtime,threads,mean_ms,p50_ms,p95_ms
detection,yunet,ort,0,7.232,7.213,7.346
detection-rescue,blaze_short,ort,0,0.883,0.855,0.956
detection-rescue,blaze_short,tflite,1,1.930,1.932,1.964
detection-rescue,blaze_short,tflite,2,1.132,1.131,1.150
detection-rescue,blaze_short,tflite,4,0.723,0.723,0.730
detection-rescue,blaze_full_range,tflite,2,3.078,3.043,3.122
landmarks,face_landmark_468,ort,0,7.460,7.463,7.539
landmarks,face_landmarks_478,tflite,1,7.082,7.084,7.174
landmarks,face_landmarks_478,tflite,2,4.537,4.537,4.589
landmarks,face_landmarks_478,tflite,4,3.052,3.031,3.104
blendshapes,face_blendshapes,tflite,1,1.380,1.380,1.388
