camera,segment,kind,frame,w,h,mean,yunet_n,scrfd_n,yunet_score,scrfd_score,yunet_fsize,scrfd_fsize,iou,y_x1,y_y1,y_x2,y_y2,s_x1,s_y1,s_x2,s_y2
nexigo,close,rgb,rgb/rgb00.ppm,640,480,149.2,1,1,0.9407,0.8547,240.2842,232.0837,0.9286,196.8,97.2,437.1,450.0,201.2,94.3,433.3,439.1
nexigo,close,rgb,rgb/rgb01.ppm,640,480,149.5,1,1,0.9423,0.8576,235.7395,231.0754,0.9349,198.1,94.9,433.8,447.2,202.6,98.4,433.6,434.3
nexigo,close,rgb,rgb/rgb02.ppm,640,480,149.8,1,1,0.9442,0.8691,234.4731,229.5539,0.9499,198.2,94.2,432.7,442.2,203.3,93.7,432.9,432.9
nexigo,close,rgb,rgb/rgb03.ppm,640,480,149.6,1,1,0.9415,0.8589,230.6827,231.2066,0.9594,197.5,94.3,428.2,437.4,200.1,96.0,431.3,433.4
nexigo,close,rgb,rgb/rgb04.ppm,640,480,149.8,1,1,0.9393,0.8693,233.8528,228.9597,0.9350,196.8,90.4,430.7,440.3,201.3,94.6,430.2,428.7
nexigo,close,rgb,rgb/rgb05.ppm,640,480,149.8,1,1,0.9407,0.8537,233.5758,230.9676,0.9312,197.6,94.2,431.2,444.3,201.1,100.1,432.0,432.0
nexigo,close,rgb,rgb/rgb06.ppm,640,480,149.6,1,1,0.9444,0.8517,233.2298,230.1601,0.9380,197.4,93.1,430.7,442.7,200.8,99.2,431.0,432.4
nexigo,close,rgb,rgb/rgb07.ppm,640,480,149.2,1,1,0.9403,0.8702,234.8734,226.2041,0.9354,200.2,98.9,435.1,438.9,204.9,94.2,431.1,433.5
nexigo,close,ir,ir/frame00.pgm,640,360,4.1,0,0,,,,,,,,,,,,,
nexigo,close,ir,ir/frame01.pgm,640,360,106.4,0,1,,0.7840,,210.3261,,,,,,261.0,61.2,471.3,344.7
nexigo,close,ir,ir/frame02.pgm,640,360,4.1,0,0,,,,,,,,,,,,,
nexigo,close,ir,ir/frame03.pgm,640,360,96.4,1,1,0.6367,0.7877,185.4134,207.5631,0.7886,287.2,67.7,472.6,325.6,262.6,61.2,470.1,346.4
nexigo,close,ir,ir/frame04.pgm,640,360,2.6,0,0,,,,,,,,,,,,,
nexigo,close,ir,ir/frame05.pgm,640,360,95.5,1,1,0.6683,0.7797,176.0790,207.2401,0.7264,296.4,67.5,472.4,317.6,263.2,61.3,470.5,348.1
nexigo,close,ir,ir/frame06.pgm,640,360,2.6,0,0,,,,,,,,,,,,,
nexigo,close,ir,ir/frame07.pgm,640,360,95.0,1,1,0.6746,0.7877,172.6051,207.2200,0.6843,299.7,76.6,472.3,316.2,263.3,60.9,470.5,347.3
nexigo,close,ir,ir/frame08.pgm,640,360,2.6,0,0,,,,,,,,,,,,,
nexigo,close,ir,ir/frame09.pgm,640,360,94.3,1,1,0.6226,0.7814,175.9958,203.1799,0.7335,297.0,74.8,473.0,320.6,267.2,62.5,470.4,345.1
nexigo,close,ir,ir/frame10.pgm,640,360,2.6,0,0,,,,,,,,,,,,,
nexigo,close,ir,ir/frame11.pgm,640,360,93.6,1,1,0.6479,0.8089,179.0818,204.1911,0.7601,292.9,69.9,472.0,321.2,264.9,62.0,469.1,343.7
nexigo,close,ir,ir/frame12.pgm,640,360,2.6,0,0,,,,,,,,,,,,,
nexigo,close,ir,ir/frame13.pgm,640,360,93.2,1,1,0.6922,0.8093,182.8066,203.3044,0.7644,291.9,66.6,474.7,320.8,266.0,60.6,469.3,344.0
nexigo,close,ir,ir/frame14.pgm,640,360,2.6,0,0,,,,,,,,,,,,,
nexigo,close,ir,ir/frame15.pgm,640,360,87.1,1,1,0.8489,0.8115,202.6228,210.7575,0.8823,263.7,65.1,466.3,333.5,260.1,57.1,470.8,349.6
nexigo,close,ir,ir/frame16.pgm,640,360,2.1,0,0,,,,,,,,,,,,,
nexigo,close,ir,ir/frame17.pgm,640,360,80.4,1,1,0.8928,0.8463,211.9923,214.5911,0.9358,257.5,64.6,469.5,345.8,257.0,53.7,471.6,350.5
nexigo,close,ir,ir/frame18.pgm,640,360,1.7,0,0,,,,,,,,,,,,,
nexigo,close,ir,ir/frame19.pgm,640,360,77.8,1,1,0.9001,0.8598,213.6799,213.4211,0.9527,257.4,62.2,471.1,346.1,256.9,52.0,470.4,348.5
nexigo,close,ir,ir/frame20.pgm,640,360,1.5,0,0,,,,,,,,,,,,,
nexigo,close,ir,ir/frame21.pgm,640,360,73.1,1,1,0.9067,0.8678,220.5028,211.7214,0.9265,253.2,62.1,473.7,349.3,258.8,51.9,470.6,348.7
nexigo,close,ir,ir/frame22.pgm,640,360,1.2,0,0,,,,,,,,,,,,,
nexigo,close,ir,ir/frame23.pgm,640,360,68.5,1,1,0.9121,0.8626,222.3241,212.3009,0.9239,251.8,58.7,474.1,352.6,258.6,51.6,470.9,349.5
nexigo,dusk,rgb,rgb/rgb00.ppm,640,480,113.4,1,1,0.9352,0.7929,134.8398,136.6797,0.9215,241.8,176.1,376.7,350.2,240.6,164.3,377.3,349.8
nexigo,dusk,rgb,rgb/rgb01.ppm,640,480,113.0,1,1,0.9327,0.7647,134.4297,134.5682,0.9361,243.5,168.2,377.9,343.0,242.9,159.6,377.5,341.1
nexigo,dusk,rgb,rgb/rgb02.ppm,640,480,112.4,1,1,0.9362,0.7649,131.3535,133.5198,0.9156,249.1,167.6,380.5,336.2,247.6,158.7,381.1,339.9
nexigo,dusk,rgb,rgb/rgb03.ppm,640,480,112.2,1,1,0.9400,0.7859,130.0569,133.8229,0.9051,249.6,165.8,379.6,333.7,247.5,154.3,381.4,332.8
nexigo,dusk,rgb,rgb/rgb04.ppm,640,480,112.6,1,1,0.9407,0.7387,130.0871,134.5704,0.9040,249.0,165.8,379.1,335.0,246.2,155.1,380.8,336.0
nexigo,dusk,rgb,rgb/rgb05.ppm,640,480,112.3,1,1,0.9373,0.7748,130.7487,133.9632,0.9165,248.5,165.6,379.2,334.7,247.1,155.2,381.1,334.1
nexigo,dusk,rgb,rgb/rgb06.ppm,640,480,112.4,1,1,0.9407,0.7635,129.5871,134.0014,0.9068,249.4,165.5,379.0,334.7,246.5,155.3,380.5,333.7
nexigo,dusk,rgb,rgb/rgb07.ppm,640,480,112.2,1,1,0.9410,0.7646,130.8122,134.2269,0.9122,248.7,165.8,379.5,334.8,246.9,154.6,381.2,334.4
nexigo,dusk,ir,ir/frame00.pgm,640,360,2.8,0,0,,,,,,,,,,,,,
nexigo,dusk,ir,ir/frame01.pgm,640,360,58.4,1,1,0.9385,0.8381,125.9376,122.6203,0.9072,278.6,112.2,404.6,276.3,280.4,104.8,403.0,271.8
nexigo,dusk,ir,ir/frame02.pgm,640,360,2.8,0,0,,,,,,,,,,,,,
nexigo,dusk,ir,ir/frame03.pgm,640,360,47.3,1,1,0.9372,0.8135,125.4795,121.7962,0.8931,278.8,113.3,404.2,274.6,280.9,103.0,402.7,270.8
nexigo,dusk,ir,ir/frame04.pgm,640,360,1.6,0,0,,,,,,,,,,,,,
nexigo,dusk,ir,ir/frame05.pgm,640,360,46.6,1,1,0.9372,0.8208,124.2337,121.5953,0.9167,279.1,112.8,403.3,273.3,281.5,103.8,403.1,271.3
nexigo,dusk,ir,ir/frame06.pgm,640,360,1.6,0,0,,,,,,,,,,,,,
nexigo,dusk,ir,ir/frame07.pgm,640,360,46.1,1,1,0.9370,0.8276,124.8261,121.8283,0.8963,279.4,114.1,404.3,276.5,281.3,104.5,403.1,271.9
nexigo,dusk,ir,ir/frame08.pgm,640,360,1.7,0,0,,,,,,,,,,,,,
nexigo,dusk,ir,ir/frame09.pgm,640,360,45.8,1,1,0.9391,0.8238,125.0723,121.9705,0.9054,278.7,113.4,403.8,273.0,280.8,103.3,402.8,270.7
nexigo,dusk,ir,ir/frame10.pgm,640,360,1.7,0,0,,,,,,,,,,,,,
