cond,frame,note,p_fake_pad96,p_fake_pad16
genuine-desk,b1-rgb00.ppm,ok,0.0224,0.2216
genuine-desk,b1-rgb01.ppm,ok,0.0095,0.2121
genuine-desk,b1-rgb02.ppm,ok,0.0032,0.1628
genuine-desk,b1-rgb03.ppm,ok,0.0007,0.7300
genuine-desk,b1-rgb04.ppm,ok,0.0138,0.7326
genuine-desk,b1-rgb05.ppm,ok,0.0113,0.4719
genuine-desk,b1-rgb06.ppm,ok,0.0017,0.1555
genuine-desk,b1-rgb07.ppm,ok,0.0065,0.7724
genuine-desk,b1-rgb08.ppm,ok,0.0032,0.2424
genuine-desk,b1-rgb09.ppm,ok,0.0072,0.4425
genuine-desk,b1-rgb10.ppm,ok,0.0027,0.1382
genuine-desk,b1-rgb11.ppm,ok,0.0041,0.3169
genuine-desk,b1-rgb12.ppm,ok,0.0018,0.0974
genuine-desk,b1-rgb13.ppm,ok,0.0065,0.2120
genuine-desk,b1-rgb14.ppm,ok,0.0045,0.0859
genuine-desk,b1-rgb15.ppm,ok,0.0015,0.2783
genuine-desk,b1-rgb16.ppm,ok,0.0040,0.3467
genuine-desk,b1-rgb17.ppm,ok,0.0030,0.2898
genuine-desk,b1-rgb18.ppm,ok,0.0074,0.1398
genuine-desk,b1-rgb19.ppm,ok,0.0025,0.0776
genuine-desk,b1-rgb20.ppm,ok,0.0059,0.3025
genuine-desk,b1-rgb21.ppm,ok,0.0021,0.4586
genuine-desk,b1-rgb22.ppm,ok,0.0106,0.4941
genuine-desk,b1-rgb23.ppm,ok,0.0109,0.1959
genuine-desk,b1-rgb24.ppm,ok,0.0113,0.2451
genuine-desk,b2-rgb00.ppm,ok,0.0075,0.1755
genuine-desk,b2-rgb01.ppm,ok,0.0505,0.1876
genuine-desk,b2-rgb02.ppm,ok,0.0199,0.1888
genuine-desk,b2-rgb03.ppm,ok,0.0030,0.0674
genuine-desk,b2-rgb04.ppm,ok,0.0147,0.0844
genuine-desk,b2-rgb05.ppm,ok,0.0079,0.4099
genuine-desk,b2-rgb06.ppm,ok,0.0069,0.2292
genuine-desk,b2-rgb07.ppm,ok,0.0039,0.1722
genuine-desk,b2-rgb08.ppm,ok,0.0032,0.5960
genuine-desk,b2-rgb09.ppm,ok,0.0057,0.1103
genuine-desk,b2-rgb10.ppm,ok,0.0229,0.0820
genuine-desk,b2-rgb11.ppm,ok,0.0161,0.1755
genuine-desk,b2-rgb12.ppm,ok,0.0042,0.2582
genuine-desk,b2-rgb13.ppm,ok,0.0699,0.1489
genuine-desk,b2-rgb14.ppm,ok,0.0319,0.0450
genuine-desk,b2-rgb15.ppm,ok,0.0383,0.0905
genuine-desk,b2-rgb16.ppm,ok,0.0045,0.0404
genuine-desk,b2-rgb17.ppm,ok,0.0513,0.0359
genuine-desk,b2-rgb18.ppm,ok,0.0147,0.7779
genuine-desk,b2-rgb19.ppm,ok,0.0648,0.2053
genuine-desk,b2-rgb20.ppm,ok,0.0663,0.5459
genuine-desk,b2-rgb21.ppm,ok,0.0395,0.0797
genuine-desk,b2-rgb22.ppm,ok,0.0080,0.3475
genuine-desk,b2-rgb23.ppm,ok,0.0101,0.2580
genuine-desk,b2-rgb24.ppm,ok,0.0120,0.2476
genuine-desk,b3-rgb00.ppm,ok,0.0793,0.2438
genuine-desk,b3-rgb01.ppm,ok,0.0148,0.2133
genuine-desk,b3-rgb02.ppm,ok,0.0156,0.0749
genuine-desk,b3-rgb03.ppm,ok,0.0048,0.0977
genuine-desk,b3-rgb04.ppm,ok,0.0020,0.1162
genuine-desk,b3-rgb05.ppm,ok,0.0035,0.0881
genuine-desk,b3-rgb06.ppm,ok,0.0018,0.3492
genuine-desk,b3-rgb07.ppm,ok,0.0049,0.1020
genuine-desk,b3-rgb08.ppm,ok,0.0100,0.0691
genuine-desk,b3-rgb09.ppm,ok,0.0139,0.2243
genuine-desk,b3-rgb10.ppm,ok,0.0118,0.2965
genuine-desk,b3-rgb11.ppm,ok,0.0117,0.2868
genuine-desk,b3-rgb12.ppm,ok,0.0133,0.3315
genuine-desk,b3-rgb13.ppm,ok,0.0454,0.3400
genuine-desk,b3-rgb14.ppm,ok,0.0699,0.1262
genuine-desk,b3-rgb15.ppm,ok,0.0488,0.0446
genuine-desk,b3-rgb16.ppm,ok,0.0162,0.0431
genuine-desk,b3-rgb17.ppm,ok,0.0235,0.2692
genuine-desk,b3-rgb18.ppm,ok,0.0108,0.2089
genuine-desk,b3-rgb19.ppm,ok,0.0588,0.1032
genuine-desk,b3-rgb20.ppm,ok,0.0177,0.1127
genuine-desk,b3-rgb21.ppm,ok,0.0047,0.0845
genuine-desk,b3-rgb22.ppm,ok,0.0031,0.3194
genuine-desk,b3-rgb23.ppm,ok,0.0202,0.2300
genuine-desk,b3-rgb24.ppm,ok,0.0028,0.2835
genuine-lowlight,b1-rgb00.ppm,no-detect,,
genuine-lowlight,b1-rgb01.ppm,no-detect,,
genuine-lowlight,b1-rgb02.ppm,no-detect,,
genuine-lowlight,b1-rgb03.ppm,no-detect,,
genuine-lowlight,b1-rgb04.ppm,no-detect,,
genuine-lowlight,b1-rgb05.ppm,no-detect,,
genuine-lowlight,b1-rgb06.ppm,no-detect,,
genuine-lowlight,b1-rgb07.ppm,no-detect,,
genuine-lowlight,b1-rgb08.ppm,no-detect,,
genuine-lowlight,b1-rgb09.ppm,no-detect,,
genuine-lowlight,b1-rgb10.ppm,no-detect,,
genuine-lowlight,b1-rgb11.ppm,no-detect,,
genuine-lowlight,b1-rgb12.ppm,ok,0.5479,0.9391
genuine-lowlight,b1-rgb13.ppm,no-detect,,
genuine-lowlight,b1-rgb14.ppm,ok,0.7208,0.6310
genuine-lowlight,b1-rgb15.ppm,ok,0.7341,0.8092
genuine-lowlight,b1-rgb16.ppm,ok,0.6590,0.8461
genuine-lowlight,b1-rgb17.ppm,no-detect,,
genuine-lowlight,b1-rgb18.ppm,no-detect,,
genuine-lowlight,b1-rgb19.ppm,no-detect,,
genuine-lowlight,b1-rgb20.ppm,no-detect,,
genuine-lowlight,b1-rgb21.ppm,ok,0.6230,0.9290
genuine-lowlight,b1-rgb22.ppm,ok,0.5551,0.9632
genuine-lowlight,b1-rgb23.ppm,no-detect,,
genuine-lowlight,b1-rgb24.ppm,ok,0.4166,0.9640
genuine-lowlight,b2-rgb00.ppm,no-detect,,
genuine-lowlight,b2-rgb01.ppm,no-detect,,
genuine-lowlight,b2-rgb02.ppm,no-detect,,
