frame,note,p_fake_warp
AJ_Cook_0001.jpg,ok,0.5790
AJ_Lamas_0001.jpg,ok,0.4459
Aaron_Eckhart_0001.jpg,ok,0.0029
Aaron_Guiel_0001.jpg,ok,0.1714
Aaron_Patterson_0001.jpg,ok,0.9944
Aaron_Peirsol_0001.jpg,ok,0.3190
Aaron_Peirsol_0002.jpg,ok,0.3204
Aaron_Peirsol_0003.jpg,ok,0.3855
Aaron_Peirsol_0004.jpg,ok,0.0848
Aaron_Pena_0001.jpg,ok,0.0809
Aaron_Sorkin_0001.jpg,ok,0.3239
Aaron_Sorkin_0002.jpg,ok,0.6351
Aaron_Tippin_0001.jpg,ok,0.3790
Abba_Eban_0001.jpg,ok,0.0107
Abbas_Kiarostami_0001.jpg,ok,0.9244
Abdel_Aziz_Al-Hakim_0001.jpg,ok,0.9970
Abdel_Madi_Shabneh_0001.jpg,ok,0.9862
Abdel_Nasser_Assidi_0001.jpg,ok,0.1746
Abdel_Nasser_Assidi_0002.jpg,ok,0.0838
Abdoulaye_Wade_0001.jpg,ok,0.4334
Abdoulaye_Wade_0002.jpg,ok,0.4436
Abdoulaye_Wade_0003.jpg,ok,0.0184
Abdoulaye_Wade_0004.jpg,ok,0.0353
Abdul_Majeed_Shobokshi_0001.jpg,ok,0.0272
Abdul_Rahman_0001.jpg,ok,0.1674
Abdulaziz_Kamilov_0001.jpg,ok,0.3744
Abdullah_0001.jpg,ok,0.1806
Abdullah_0002.jpg,ok,0.4106
Abdullah_0003.jpg,ok,0.0277
Abdullah_0004.jpg,ok,0.0650
Abdullah_Ahmad_Badawi_0001.jpg,ok,0.2780
Abdullah_Gul_0001.jpg,ok,0.4037
Abdullah_Gul_0002.jpg,ok,0.0049
Abdullah_Gul_0003.jpg,ok,0.0543
Abdullah_Gul_0004.jpg,ok,0.5086
Abdullah_Gul_0005.jpg,ok,0.8329
Abdullah_Gul_0006.jpg,ok,0.0459
Abdullah_Gul_0007.jpg,ok,0.8622
Abdullah_Gul_0008.jpg,ok,0.9568
Abdullah_Gul_0009.jpg,ok,0.8964
Abdullah_Gul_0010.jpg,ok,0.7121
Abdullah_Gul_0011.jpg,ok,0.6021
Abdullah_Gul_0012.jpg,ok,0.3521
Abdullah_Gul_0013.jpg,ok,0.1514
Abdullah_Gul_0014.jpg,ok,0.7740
Abdullah_Gul_0015.jpg,ok,0.7962
Abdullah_Gul_0016.jpg,ok,0.8243
Abdullah_Gul_0017.jpg,ok,0.6579
Abdullah_Gul_0018.jpg,ok,0.8897
Abdullah_Gul_0019.jpg,ok,0.9727
Abdullah_Nasseef_0001.jpg,ok,0.0024
Abdullah_al-Attiyah_0001.jpg,ok,0.1700
Abdullah_al-Attiyah_0002.jpg,ok,0.4827
Abdullah_al-Attiyah_0003.jpg,ok,0.6131
Abdullatif_Sener_0001.jpg,ok,0.1256
Abdullatif_Sener_0002.jpg,ok,0.1158
Abel_Aguilar_0001.jpg,ok,0.7337
Abel_Pacheco_0001.jpg,ok,0.1344
Abel_Pacheco_0002.jpg,ok,0.7278
Abel_Pacheco_0003.jpg,ok,0.8947
Abel_Pacheco_0004.jpg,ok,0.5673
Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,ok,0.5735
Abid_Hamid_Mahmud_Al-Tikriti_0002.jpg,ok,0.2541
Abid_Hamid_Mahmud_Al-Tikriti_0003.jpg,ok,0.3644
Abner_Martinez_0001.jpg,ok,0.5988
Abraham_Foxman_0001.jpg,ok,0.8417
Aby_Har-Even_0001.jpg,ok,0.6365
Adam_Ant_0001.jpg,ok,0.3061
Adam_Freier_0001.jpg,ok,0.7737
Adam_Herbert_0001.jpg,ok,0.9357
Adam_Kennedy_0001.jpg,ok,0.8670
Adam_Mair_0001.jpg,ok,0.4895
Adam_Rich_0001.jpg,ok,0.0163
Adam_Sandler_0001.jpg,ok,0.0015
Adam_Sandler_0002.jpg,ok,0.0586
Adam_Sandler_0003.jpg,ok,0.4579
Adam_Sandler_0004.jpg,ok,0.0388
Adam_Scott_0001.jpg,ok,0.7369
Adam_Scott_0002.jpg,ok,0.3521
Adel_Al-Jubeir_0001.jpg,ok,0.0040
Adel_Al-Jubeir_0002.jpg,ok,0.0092
Adel_Al-Jubeir_0003.jpg,ok,0.4929
Adelina_Avila_0001.jpg,ok,0.0039
Adisai_Bodharamik_0001.jpg,ok,0.1159
Adolfo_Aguilar_Zinser_0001.jpg,ok,0.2127
Adolfo_Aguilar_Zinser_0002.jpg,ok,0.8374
Adolfo_Aguilar_Zinser_0003.jpg,ok,0.2025
Adolfo_Rodriguez_Saa_0001.jpg,ok,0.5532
Adolfo_Rodriguez_Saa_0002.jpg,ok,0.1570
Adoor_Gopalakarishnan_0001.jpg,ok,0.6370
Adrian_Annus_0001.jpg,ok,0.0100
Adrian_Fernandez_0001.jpg,ok,0.7246
Adrian_McPherson_0001.jpg,ok,0.6113
Adrian_McPherson_0002.jpg,ok,0.8352
Adrian_Murrell_0001.jpg,ok,0.4243
Adrian_Nastase_0001.jpg,ok,0.0625
Adrian_Nastase_0002.jpg,ok,0.2137
Adriana_Lima_0001.jpg,ok,0.0147
Adriana_Perez_Navarro_0001.jpg,ok,0.0007
Adrianna_Zuzic_0001.jpg,ok,0.7121
Adrien_Brody_0001.jpg,ok,0.0013
Adrien_Brody_0002.jpg,ok,0.0860
Adrien_Brody_0003.jpg,ok,0.3559
Adrien_Brody_0004.jpg,ok,0.4474
Adrien_Brody_0005.jpg,ok,0.0199
Adrien_Brody_0006.jpg,ok,0.3600
Adrien_Brody_0007.jpg,ok,0.1182
Adrien_Brody_0008.jpg,ok,0.1954
Adrien_Brody_0009.jpg,ok,0.2941
Adrien_Brody_0010.jpg,ok,0.7887
Adrien_Brody_0011.jpg,ok,0.4785
Adrien_Brody_0012.jpg,ok,0.7325
Afton_Smith_0001.jpg,ok,0.8356
Agbani_Darego_0001.jpg,ok,0.0373
Agnelo_Queiroz_0001.jpg,ok,0.0423
Agnes_Bruckner_0001.jpg,ok,0.9971
Ahmad_Jbarah_0001.jpg,ok,0.0670
Ahmad_Masood_0001.jpg,ok,0.0103
Ahmad_Masood_0002.jpg,ok,0.5063
Ahmed_Ahmed_0001.jpg,ok,0.1848
Ahmed_Chalabi_0001.jpg,ok,0.4115
Ahmed_Chalabi_0002.jpg,ok,0.0057
Ahmed_Chalabi_0003.jpg,ok,0.4184
Ahmed_Chalabi_0004.jpg,ok,0.9204
Ahmed_Chalabi_0005.jpg,ok,0.8640
Ahmed_Ghazi_0001.jpg,ok,0.7459
Ahmed_Ibrahim_Bilal_0001.jpg,ok,0.0019
Ahmed_Lopez_0001.jpg,ok,0.3471
Ahmed_Qureia_0001.jpg,ok,0.8933
Ahmet_Demir_0001.jpg,ok,0.1594
Ahmet_Necdet_Sezer_0001.jpg,ok,0.1997
Ahmet_Necdet_Sezer_0002.jpg,ok,0.7839
Ai_Sugiyama_0001.jpg,ok,0.0431
Ai_Sugiyama_0002.jpg,ok,0.0046
Ai_Sugiyama_0003.jpg,ok,0.3160
Ai_Sugiyama_0004.jpg,ok,0.2903
Ai_Sugiyama_0005.jpg,ok,0.0402
Aicha_El_Ouafi_0001.jpg,ok,0.0310
Aicha_El_Ouafi_0002.jpg,ok,0.0235
Aicha_El_Ouafi_0003.jpg,ok,0.0368
Aidan_Quinn_0001.jpg,ok,0.8463
Aileen_Riggin_Soule_0001.jpg,ok,0.4440
Ain_Seppik_0001.jpg,ok,0.8791
Ainsworth_Dyer_0001.jpg,ok,0.1597
Aishwarya_Rai_0001.jpg,ok,0.0242
Aitor_Gonzalez_0001.jpg,ok,0.8531
Aitor_Gonzalez_0002.jpg,ok,0.2506
Aiysha_Smith_0001.jpg,ok,0.0323
