cond,frame,note,p_fake_warp,p_fake_pad96
genuine-desk,b1-rgb00.ppm,ok,0.9253,0.9566
genuine-desk,b1-rgb01.ppm,ok,0.8748,0.9719
genuine-desk,b1-rgb02.ppm,ok,0.9436,0.9729
genuine-desk,b1-rgb03.ppm,ok,0.9511,0.9786
genuine-desk,b1-rgb04.ppm,ok,0.9493,0.9786
genuine-desk,b1-rgb05.ppm,ok,0.9520,0.9818
genuine-desk,b1-rgb06.ppm,ok,0.9529,0.9778
genuine-desk,b1-rgb07.ppm,ok,0.9600,0.9823
genuine-desk,b1-rgb08.ppm,ok,0.9676,0.9841
genuine-desk,b1-rgb09.ppm,ok,0.9618,0.9846
genuine-desk,b1-rgb10.ppm,ok,0.9599,0.9846
genuine-desk,b1-rgb11.ppm,ok,0.9526,0.9857
genuine-desk,b1-rgb12.ppm,ok,0.9603,0.9872
genuine-desk,b1-rgb13.ppm,ok,0.9526,0.9850
genuine-desk,b1-rgb14.ppm,ok,0.9613,0.9833
genuine-desk,b1-rgb15.ppm,ok,0.9550,0.9823
genuine-desk,b1-rgb16.ppm,ok,0.9676,0.9849
genuine-desk,b1-rgb17.ppm,ok,0.9659,0.9884
genuine-desk,b1-rgb18.ppm,ok,0.9532,0.9839
genuine-desk,b1-rgb19.ppm,ok,0.9626,0.9782
genuine-desk,b1-rgb20.ppm,ok,0.9710,0.9811
genuine-desk,b1-rgb21.ppm,ok,0.9755,0.9850
genuine-desk,b1-rgb22.ppm,ok,0.9650,0.9834
genuine-desk,b1-rgb23.ppm,ok,0.9688,0.9876
genuine-desk,b1-rgb24.ppm,ok,0.9639,0.9864
genuine-desk,b2-rgb00.ppm,ok,0.9819,0.9896
genuine-desk,b2-rgb01.ppm,ok,0.9687,0.9885
genuine-desk,b2-rgb02.ppm,ok,0.9697,0.9877
genuine-desk,b2-rgb03.ppm,ok,0.9676,0.9858
genuine-desk,b2-rgb04.ppm,ok,0.9776,0.9871
genuine-desk,b2-rgb05.ppm,ok,0.9762,0.9870
genuine-desk,b2-rgb06.ppm,ok,0.9699,0.9868
genuine-desk,b2-rgb07.ppm,ok,0.9702,0.9845
genuine-desk,b2-rgb08.ppm,ok,0.9654,0.9875
genuine-desk,b2-rgb09.ppm,ok,0.9662,0.9857
genuine-desk,b2-rgb10.ppm,ok,0.9642,0.9854
genuine-desk,b2-rgb11.ppm,ok,0.9500,0.9848
genuine-desk,b2-rgb12.ppm,ok,0.9477,0.9847
genuine-desk,b2-rgb13.ppm,ok,0.9548,0.9849
genuine-desk,b2-rgb14.ppm,ok,0.9654,0.9866
genuine-desk,b2-rgb15.ppm,ok,0.9630,0.9861
genuine-desk,b2-rgb16.ppm,ok,0.9685,0.9852
genuine-desk,b2-rgb17.ppm,ok,0.9687,0.9852
genuine-desk,b2-rgb18.ppm,ok,0.9684,0.9853
genuine-desk,b2-rgb19.ppm,ok,0.9639,0.9854
genuine-desk,b2-rgb20.ppm,ok,0.9726,0.9862
genuine-desk,b2-rgb21.ppm,ok,0.9593,0.9845
genuine-desk,b2-rgb22.ppm,ok,0.9625,0.9806
genuine-desk,b2-rgb23.ppm,ok,0.9712,0.9848
genuine-desk,b2-rgb24.ppm,ok,0.9626,0.9827
genuine-desk,b3-rgb00.ppm,ok,0.9846,0.9874
genuine-desk,b3-rgb01.ppm,ok,0.9746,0.9872
genuine-desk,b3-rgb02.ppm,ok,0.9653,0.9837
genuine-desk,b3-rgb03.ppm,ok,0.9633,0.9862
genuine-desk,b3-rgb04.ppm,ok,0.9704,0.9864
genuine-desk,b3-rgb05.ppm,ok,0.9737,0.9839
genuine-desk,b3-rgb06.ppm,ok,0.9729,0.9846
genuine-desk,b3-rgb07.ppm,ok,0.9773,0.9844
genuine-desk,b3-rgb08.ppm,ok,0.9662,0.9849
genuine-desk,b3-rgb09.ppm,ok,0.9512,0.9823
genuine-desk,b3-rgb10.ppm,ok,0.9615,0.9820
genuine-desk,b3-rgb11.ppm,ok,0.9600,0.9836
genuine-desk,b3-rgb12.ppm,ok,0.9702,0.9830
genuine-desk,b3-rgb13.ppm,ok,0.9663,0.9844
genuine-desk,b3-rgb14.ppm,ok,0.9616,0.9831
