frame,note,p_spoof_tight,p_spoof_m96
AJ_Cook_0001.jpg,ok,0.3402,0.3631
AJ_Lamas_0001.jpg,ok,0.3640,0.5515
Aaron_Eckhart_0001.jpg,ok,0.4254,0.4236
Aaron_Guiel_0001.jpg,ok,0.3637,0.2856
Aaron_Patterson_0001.jpg,ok,0.4374,0.5833
Aaron_Peirsol_0001.jpg,ok,0.4413,0.5034
Aaron_Peirsol_0002.jpg,ok,0.3998,0.4602
Aaron_Peirsol_0003.jpg,ok,0.4313,0.4336
Aaron_Peirsol_0004.jpg,ok,0.4977,0.4686
Aaron_Pena_0001.jpg,ok,0.3796,0.4365
Aaron_Sorkin_0001.jpg,ok,0.4575,0.4382
Aaron_Sorkin_0002.jpg,ok,0.2905,0.2822
Aaron_Tippin_0001.jpg,ok,0.4802,0.4783
Abba_Eban_0001.jpg,ok,0.3756,0.3233
Abbas_Kiarostami_0001.jpg,ok,0.3827,0.2835
Abdel_Aziz_Al-Hakim_0001.jpg,ok,0.5048,0.5488
Abdel_Madi_Shabneh_0001.jpg,ok,0.6257,0.6771
Abdel_Nasser_Assidi_0001.jpg,ok,0.3141,0.3761
Abdel_Nasser_Assidi_0002.jpg,ok,0.4096,0.5093
Abdoulaye_Wade_0001.jpg,ok,0.4689,0.4883
Abdoulaye_Wade_0002.jpg,ok,0.4833,0.4777
Abdoulaye_Wade_0003.jpg,ok,0.4557,0.4432
Abdoulaye_Wade_0004.jpg,ok,0.4692,0.5116
Abdul_Majeed_Shobokshi_0001.jpg,ok,0.4695,0.4946
Abdul_Rahman_0001.jpg,ok,0.3784,0.3419
Abdulaziz_Kamilov_0001.jpg,ok,0.4650,0.4754
Abdullah_0001.jpg,ok,0.4421,0.5256
Abdullah_0002.jpg,ok,0.3260,0.4790
Abdullah_0003.jpg,ok,0.4536,0.4773
Abdullah_0004.jpg,ok,0.4231,0.4800
Abdullah_Ahmad_Badawi_0001.jpg,ok,0.4150,0.4738
Abdullah_Gul_0001.jpg,ok,0.5305,0.5226
Abdullah_Gul_0002.jpg,ok,0.2684,0.5461
Abdullah_Gul_0003.jpg,ok,0.4434,0.4921
Abdullah_Gul_0004.jpg,ok,0.3882,0.5269
Abdullah_Gul_0005.jpg,ok,0.4175,0.4329
Abdullah_Gul_0006.jpg,ok,0.4806,0.5391
Abdullah_Gul_0007.jpg,ok,0.4481,0.4253
Abdullah_Gul_0008.jpg,ok,0.4438,0.5121
Abdullah_Gul_0009.jpg,ok,0.4508,0.4990
Abdullah_Gul_0010.jpg,ok,0.3694,0.3016
Abdullah_Gul_0011.jpg,ok,0.5029,0.5347
Abdullah_Gul_0012.jpg,ok,0.4331,0.4249
Abdullah_Gul_0013.jpg,ok,0.4669,0.4827
Abdullah_Gul_0014.jpg,ok,0.4739,0.5361
Abdullah_Gul_0015.jpg,ok,0.4960,0.4917
Abdullah_Gul_0016.jpg,ok,0.4807,0.5006
Abdullah_Gul_0017.jpg,ok,0.5397,0.5520
Abdullah_Gul_0018.jpg,ok,0.4958,0.4249
Abdullah_Gul_0019.jpg,ok,0.4680,0.4795
Abdullah_Nasseef_0001.jpg,ok,0.4148,0.3563
Abdullah_al-Attiyah_0001.jpg,ok,0.4758,0.5239
Abdullah_al-Attiyah_0002.jpg,ok,0.3350,0.4310
Abdullah_al-Attiyah_0003.jpg,ok,0.4831,0.4823
Abdullatif_Sener_0001.jpg,ok,0.5416,0.5508
Abdullatif_Sener_0002.jpg,ok,0.4608,0.4443
Abel_Aguilar_0001.jpg,ok,0.4841,0.4793
Abel_Pacheco_0001.jpg,ok,0.4274,0.4621
Abel_Pacheco_0002.jpg,ok,0.4265,0.4724
Abel_Pacheco_0003.jpg,ok,0.4954,0.5055
Abel_Pacheco_0004.jpg,ok,0.3847,0.3521
Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,ok,0.6289,0.5689
Abid_Hamid_Mahmud_Al-Tikriti_0002.jpg,ok,0.5761,0.5426
Abid_Hamid_Mahmud_Al-Tikriti_0003.jpg,ok,0.6229,0.5774
Abner_Martinez_0001.jpg,ok,0.3603,0.4720
Abraham_Foxman_0001.jpg,ok,0.4719,0.4661
Aby_Har-Even_0001.jpg,ok,0.4343,0.5045
Adam_Ant_0001.jpg,ok,0.5214,0.4834
Adam_Freier_0001.jpg,ok,0.5607,0.5149
Adam_Herbert_0001.jpg,ok,0.4644,0.4495
Adam_Kennedy_0001.jpg,ok,0.3563,0.4492
Adam_Mair_0001.jpg,ok,0.4403,0.5083
Adam_Rich_0001.jpg,ok,0.3383,0.3359
Adam_Sandler_0001.jpg,ok,0.5048,0.5196
Adam_Sandler_0002.jpg,ok,0.3975,0.3809
Adam_Sandler_0003.jpg,ok,0.4288,0.4818
Adam_Sandler_0004.jpg,ok,0.4107,0.4885
Adam_Scott_0001.jpg,ok,0.5206,0.5132
Adam_Scott_0002.jpg,ok,0.5402,0.5319
Adel_Al-Jubeir_0001.jpg,ok,0.3330,0.3737
Adel_Al-Jubeir_0002.jpg,ok,0.4785,0.4701
Adel_Al-Jubeir_0003.jpg,ok,0.3627,0.4025
Adelina_Avila_0001.jpg,ok,0.3781,0.3303
Adisai_Bodharamik_0001.jpg,ok,0.5273,0.4349
Adolfo_Aguilar_Zinser_0001.jpg,ok,0.4235,0.3478
Adolfo_Aguilar_Zinser_0002.jpg,ok,0.5058,0.4457
Adolfo_Aguilar_Zinser_0003.jpg,ok,0.4738,0.5255
Adolfo_Rodriguez_Saa_0001.jpg,ok,0.4005,0.3953
Adolfo_Rodriguez_Saa_0002.jpg,ok,0.3444,0.4947
Adoor_Gopalakarishnan_0001.jpg,ok,0.3766,0.2742
Adrian_Annus_0001.jpg,ok,0.4556,0.5054
Adrian_Fernandez_0001.jpg,ok,0.4822,0.4598
Adrian_McPherson_0001.jpg,ok,0.4425,0.4051
Adrian_McPherson_0002.jpg,ok,0.4475,0.3895
Adrian_Murrell_0001.jpg,ok,0.4382,0.4614
Adrian_Nastase_0001.jpg,ok,0.5024,0.5465
Adrian_Nastase_0002.jpg,ok,0.4241,0.4406
Adriana_Lima_0001.jpg,ok,0.4924,0.4845
Adriana_Perez_Navarro_0001.jpg,ok,0.3846,0.4517
Adrianna_Zuzic_0001.jpg,ok,0.4219,0.4640
Adrien_Brody_0001.jpg,ok,0.3174,0.4170
Adrien_Brody_0002.jpg,ok,0.4179,0.4809
Adrien_Brody_0003.jpg,ok,0.5189,0.4320
Adrien_Brody_0004.jpg,ok,0.4644,0.4024
Adrien_Brody_0005.jpg,ok,0.3597,0.3852
Adrien_Brody_0006.jpg,ok,0.4203,0.4059
Adrien_Brody_0007.jpg,ok,0.3677,0.4708
Adrien_Brody_0008.jpg,ok,0.4026,0.4213
Adrien_Brody_0009.jpg,ok,0.4504,0.4806
Adrien_Brody_0010.jpg,ok,0.3348,0.3706
Adrien_Brody_0011.jpg,ok,0.2867,0.3520
Adrien_Brody_0012.jpg,ok,0.5321,0.5317
Afton_Smith_0001.jpg,ok,0.3052,0.3907
Agbani_Darego_0001.jpg,ok,0.3864,0.3762
Agnelo_Queiroz_0001.jpg,ok,0.4100,0.5027
Agnes_Bruckner_0001.jpg,ok,0.3506,0.3729
Ahmad_Jbarah_0001.jpg,ok,0.4194,0.3649
Ahmad_Masood_0001.jpg,ok,0.3904,0.3717
Ahmad_Masood_0002.jpg,ok,0.5824,0.5632
Ahmed_Ahmed_0001.jpg,ok,0.3907,0.3313
Ahmed_Chalabi_0001.jpg,ok,0.4328,0.4811
Ahmed_Chalabi_0002.jpg,ok,0.4981,0.4565
Ahmed_Chalabi_0003.jpg,ok,0.4804,0.4365
Ahmed_Chalabi_0004.jpg,ok,0.4594,0.4520
Ahmed_Chalabi_0005.jpg,ok,0.3157,0.3375
Ahmed_Ghazi_0001.jpg,ok,0.4967,0.5101
Ahmed_Ibrahim_Bilal_0001.jpg,ok,0.4433,0.4466
Ahmed_Lopez_0001.jpg,ok,0.5143,0.4966
Ahmed_Qureia_0001.jpg,ok,0.4210,0.4166
Ahmet_Demir_0001.jpg,ok,0.4346,0.5226
Ahmet_Necdet_Sezer_0001.jpg,ok,0.4819,0.5206
Ahmet_Necdet_Sezer_0002.jpg,ok,0.5061,0.4827
Ai_Sugiyama_0001.jpg,ok,0.3836,0.5379
Ai_Sugiyama_0002.jpg,ok,0.3374,0.4827
Ai_Sugiyama_0003.jpg,ok,0.4508,0.5528
Ai_Sugiyama_0004.jpg,ok,0.4810,0.5275
Ai_Sugiyama_0005.jpg,ok,0.3793,0.5123
Aicha_El_Ouafi_0001.jpg,ok,0.5044,0.4959
Aicha_El_Ouafi_0002.jpg,ok,0.4336,0.4855
Aicha_El_Ouafi_0003.jpg,ok,0.3090,0.3669
Aidan_Quinn_0001.jpg,ok,0.4319,0.4066
Aileen_Riggin_Soule_0001.jpg,ok,0.3694,0.3976
Ain_Seppik_0001.jpg,ok,0.4281,0.3943
Ainsworth_Dyer_0001.jpg,ok,0.4629,0.4510
Aishwarya_Rai_0001.jpg,ok,0.3598,0.4388
Aitor_Gonzalez_0001.jpg,ok,0.5015,0.5541
Aitor_Gonzalez_0002.jpg,ok,0.3890,0.4994
Aiysha_Smith_0001.jpg,ok,0.4563,0.4786
Ajit_Agarkar_0001.jpg,ok,0.4478,0.5436
Akbar_Al_Baker_0001.jpg,ok,0.4053,0.4796
Akbar_Hashemi_Rafsanjani_0001.jpg,ok,0.3967,0.4578
Akbar_Hashemi_Rafsanjani_0002.jpg,ok,0.4568,0.4657
Akbar_Hashemi_Rafsanjani_0003.jpg,ok,0.3912,0.4690
Akhmed_Zakayev_0001.jpg,ok,0.4036,0.4872
Akhmed_Zakayev_0002.jpg,ok,0.5127,0.5297
Akhmed_Zakayev_0003.jpg,ok,0.4790,0.3953
Akiko_Morigami_0001.jpg,ok,0.5505,0.5497
Akmal_Taher_0001.jpg,ok,0.4734,0.3306
Al_Cardenas_0001.jpg,ok,0.4453,0.5043
Al_Davis_0001.jpg,ok,0.3542,0.4587
Al_Davis_0002.jpg,ok,0.3815,0.3566
Al_Gore_0001.jpg,ok,0.3971,0.4444
Al_Gore_0002.jpg,ok,0.4355,0.4705
Al_Gore_0003.jpg,ok,0.4756,0.4858
Al_Gore_0004.jpg,ok,0.4534,0.4904
Al_Gore_0005.jpg,ok,0.3294,0.3953
Al_Gore_0006.jpg,ok,0.4791,0.4630
Al_Gore_0007.jpg,ok,0.4492,0.5450
Al_Gore_0008.jpg,ok,0.4278,0.4655
Al_Leiter_0001.jpg,ok,0.4419,0.4460
Al_Pacino_0001.jpg,ok,0.4308,0.4665
Al_Pacino_0002.jpg,ok,0.3911,0.5488
Al_Pacino_0003.jpg,ok,0.3725,0.4023
Al_Sharpton_0001.jpg,ok,0.2736,0.3821
Al_Sharpton_0002.jpg,ok,0.3935,0.3715
Al_Sharpton_0003.jpg,ok,0.4442,0.4343
Al_Sharpton_0004.jpg,ok,0.3628,0.3545
Al_Sharpton_0005.jpg,ok,0.3575,0.4163
Al_Sharpton_0006.jpg,ok,0.3990,0.4448
Al_Sharpton_0007.jpg,ok,0.4321,0.4178
Alain_Cervantes_0001.jpg,ok,0.4816,0.4941
Alain_Ducasse_0001.jpg,ok,0.3333,0.3578
Alan_Ball_0001.jpg,ok,0.3366,0.3284
Alan_Ball_0002.jpg,ok,0.3885,0.3814
Alan_Dershowitz_0001.jpg,ok,0.4509,0.4693
Alan_Dreher_0001.jpg,ok,0.4633,0.4845
Alan_Greenspan_0001.jpg,ok,0.4013,0.4554
Alan_Greenspan_0002.jpg,ok,0.4542,0.4763
Alan_Greenspan_0003.jpg,ok,0.4528,0.4880
Alan_Greenspan_0004.jpg,ok,0.4607,0.5582
Alan_Greenspan_0005.jpg,ok,0.3943,0.3916
Alan_Greer_0001.jpg,ok,0.4605,0.4487
Alan_Jackson_0001.jpg,ok,0.4645,0.3442
Alan_Mulally_0001.jpg,ok,0.4630,0.3927
Alan_Mulally_0002.jpg,ok,0.3635,0.4269
Alan_Stonecipher_0001.jpg,ok,0.3802,0.4079
Alan_Tang_Kwong-wing_0001.jpg,ok,0.4170,0.4180
Alan_Trammell_0001.jpg,ok,0.4176,0.4796
Alan_Zemaitis_0001.jpg,ok,0.2826,0.4001
Alanis_Morissette_0001.jpg,ok,0.3551,0.3714
Alanna_Ubach_0001.jpg,ok,0.4089,0.4531
Alastair_Campbell_0001.jpg,ok,0.3163,0.4660
Alastair_Campbell_0002.jpg,ok,0.4113,0.4617
Alastair_Campbell_0003.jpg,ok,0.3907,0.5017
Alastair_Campbell_0004.jpg,ok,0.4373,0.4615
Alastair_Campbell_0005.jpg,ok,0.5166,0.5215
Alastair_Johnston_0001.jpg,ok,0.4174,0.4606
Albaro_Recoba_0001.jpg,ok,0.4798,0.5227
Albert_Brooks_0001.jpg,ok,0.2451,0.2548
Albert_Costa_0001.jpg,ok,0.4766,0.4675
Albert_Costa_0002.jpg,ok,0.4661,0.4963
Albert_Costa_0003.jpg,ok,0.5287,0.5119
Albert_Costa_0004.jpg,ok,0.4524,0.5214
Albert_Costa_0005.jpg,ok,0.5106,0.5130
Albert_Costa_0006.jpg,ok,0.4115,0.4605
Albert_Montanes_0001.jpg,ok,0.4655,0.5171
Albert_Pujols_0001.jpg,ok,0.4786,0.4101
Alberta_Lee_0001.jpg,ok,0.4504,0.3258
Alberto_Acosta_0001.jpg,ok,0.5052,0.4727
Alberto_Fujimori_0001.jpg,ok,0.4309,0.4440
Alberto_Fujimori_0002.jpg,ok,0.4857,0.4404
Alberto_Gonzales_0001.jpg,ok,0.4761,0.4624
Alberto_Ruiz_Gallardon_0001.jpg,ok,0.4304,0.4650
Alberto_Ruiz_Gallardon_0002.jpg,ok,0.3785,0.3987
Alberto_Sordi_0001.jpg,ok,0.4499,0.4866
Albrecht_Mentz_0001.jpg,ok,0.4548,0.4485
Albrecht_Mentz_0002.jpg,ok,0.4289,0.4861
Aldo_Paredes_0001.jpg,ok,0.5020,0.5216
Aldo_Paredes_0002.jpg,ok,0.4761,0.5506
Alec_Baldwin_0001.jpg,ok,0.4384,0.4093
Alec_Baldwin_0002.jpg,ok,0.4787,0.4994
Alec_Baldwin_0003.jpg,ok,0.4415,0.3296
Alec_Baldwin_0004.jpg,ok,0.4613,0.3681
Alecos_Markides_0001.jpg,ok,0.4912,0.4701
