cond,frame,note,p_spoof_tight,p_spoof_m25,p_spoof_m96
genuine-desk,b1-rgb00.ppm,ok,0.3893,0.4389,0.4738
genuine-desk,b1-rgb01.ppm,ok,0.3707,0.4324,0.4690
genuine-desk,b1-rgb02.ppm,ok,0.4032,0.4160,0.4504
genuine-desk,b1-rgb03.ppm,ok,0.4134,0.4088,0.4373
genuine-desk,b1-rgb04.ppm,ok,0.3794,0.4261,0.4738
genuine-desk,b1-rgb05.ppm,ok,0.3926,0.4299,0.4443
genuine-desk,b1-rgb06.ppm,ok,0.4093,0.4399,0.4757
genuine-desk,b1-rgb07.ppm,ok,0.3766,0.4209,0.4326
genuine-desk,b1-rgb08.ppm,ok,0.3812,0.4439,0.4426
genuine-desk,b1-rgb09.ppm,ok,0.3980,0.4327,0.4336
genuine-desk,b1-rgb10.ppm,ok,0.3933,0.4153,0.4334
genuine-desk,b1-rgb11.ppm,ok,0.3783,0.4142,0.4708
genuine-desk,b1-rgb12.ppm,ok,0.3712,0.4786,0.4424
genuine-desk,b1-rgb13.ppm,ok,0.3920,0.4754,0.4343
genuine-desk,b1-rgb14.ppm,ok,0.3993,0.4451,0.4988
genuine-desk,b1-rgb15.ppm,ok,0.4056,0.4020,0.4306
genuine-desk,b1-rgb16.ppm,ok,0.4165,0.4818,0.4814
genuine-desk,b1-rgb17.ppm,ok,0.3790,0.4105,0.4436
genuine-desk,b1-rgb18.ppm,ok,0.3981,0.4427,0.4421
genuine-desk,b1-rgb19.ppm,ok,0.4238,0.4655,0.5034
genuine-desk,b1-rgb20.ppm,ok,0.4117,0.4741,0.4875
genuine-desk,b1-rgb21.ppm,ok,0.3965,0.4526,0.4581
genuine-desk,b1-rgb22.ppm,ok,0.4242,0.4121,0.4712
genuine-desk,b1-rgb23.ppm,ok,0.4007,0.4865,0.4555
genuine-desk,b1-rgb24.ppm,ok,0.4034,0.4744,0.4680
genuine-desk,b2-rgb00.ppm,ok,0.3697,0.4542,0.4379
genuine-desk,b2-rgb01.ppm,ok,0.3588,0.3815,0.4428
genuine-desk,b2-rgb02.ppm,ok,0.4063,0.4372,0.4767
genuine-desk,b2-rgb03.ppm,ok,0.3738,0.4033,0.4497
genuine-desk,b2-rgb04.ppm,ok,0.3790,0.4755,0.5096
genuine-desk,b2-rgb05.ppm,ok,0.4383,0.4609,0.4695
genuine-desk,b2-rgb06.ppm,ok,0.3925,0.4334,0.4309
genuine-desk,b2-rgb07.ppm,ok,0.4114,0.4546,0.4780
genuine-desk,b2-rgb08.ppm,ok,0.3956,0.4250,0.4667
genuine-desk,b2-rgb09.ppm,ok,0.3843,0.4330,0.4986
genuine-desk,b2-rgb10.ppm,ok,0.3727,0.4205,0.4222
genuine-desk,b2-rgb11.ppm,ok,0.3900,0.4175,0.4622
genuine-desk,b2-rgb12.ppm,ok,0.3653,0.4662,0.4717
genuine-desk,b2-rgb13.ppm,ok,0.3675,0.4409,0.4570
genuine-desk,b2-rgb14.ppm,ok,0.3587,0.4473,0.4818
genuine-desk,b2-rgb15.ppm,ok,0.3546,0.4383,0.5008
genuine-desk,b2-rgb16.ppm,ok,0.3617,0.4514,0.4656
genuine-desk,b2-rgb17.ppm,ok,0.3682,0.4212,0.4732
genuine-desk,b2-rgb18.ppm,ok,0.3467,0.4277,0.4738
genuine-desk,b2-rgb19.ppm,ok,0.3730,0.4645,0.4779
genuine-desk,b2-rgb20.ppm,ok,0.3531,0.4602,0.4953
genuine-desk,b2-rgb21.ppm,ok,0.3834,0.4404,0.4473
genuine-desk,b2-rgb22.ppm,ok,0.3963,0.4406,0.5327
genuine-desk,b2-rgb23.ppm,ok,0.4187,0.4524,0.4405
genuine-desk,b2-rgb24.ppm,ok,0.3822,0.4557,0.4890
genuine-desk,b3-rgb00.ppm,ok,0.3523,0.4277,0.4469
genuine-desk,b3-rgb01.ppm,ok,0.3877,0.4496,0.4363
genuine-desk,b3-rgb02.ppm,ok,0.3623,0.4416,0.4919
genuine-desk,b3-rgb03.ppm,ok,0.3854,0.4740,0.4560
genuine-desk,b3-rgb04.ppm,ok,0.4061,0.4911,0.4362
genuine-desk,b3-rgb05.ppm,ok,0.4061,0.5081,0.5031
genuine-desk,b3-rgb06.ppm,ok,0.4173,0.4669,0.4859
genuine-desk,b3-rgb07.ppm,ok,0.4006,0.4693,0.5443
genuine-desk,b3-rgb08.ppm,ok,0.3834,0.4484,0.4815
genuine-desk,b3-rgb09.ppm,ok,0.3894,0.4141,0.4775
genuine-desk,b3-rgb10.ppm,ok,0.3867,0.4496,0.5146
genuine-desk,b3-rgb11.ppm,ok,0.3910,0.5188,0.4921
genuine-desk,b3-rgb12.ppm,ok,0.3957,0.4730,0.5451
genuine-desk,b3-rgb13.ppm,ok,0.4137,0.4751,0.5330
genuine-desk,b3-rgb14.ppm,ok,0.4101,0.4463,0.5515
genuine-desk,b3-rgb15.ppm,ok,0.4355,0.4704,0.4836
genuine-desk,b3-rgb16.ppm,ok,0.4189,0.4568,0.5310
genuine-desk,b3-rgb17.ppm,ok,0.3892,0.4649,0.5269
genuine-desk,b3-rgb18.ppm,ok,0.4098,0.4277,0.5128
genuine-desk,b3-rgb19.ppm,ok,0.3859,0.4304,0.4887
genuine-desk,b3-rgb20.ppm,ok,0.3953,0.4020,0.5014
genuine-desk,b3-rgb21.ppm,ok,0.3907,0.4366,0.5149
genuine-desk,b3-rgb22.ppm,ok,0.3709,0.4279,0.4912
genuine-desk,b3-rgb23.ppm,ok,0.4145,0.4551,0.4863
genuine-desk,b3-rgb24.ppm,ok,0.3904,0.4492,0.5056
genuine-lowlight,b1-rgb00.ppm,no-detect,,,
genuine-lowlight,b1-rgb01.ppm,no-detect,,,
genuine-lowlight,b1-rgb02.ppm,no-detect,,,
genuine-lowlight,b1-rgb03.ppm,no-detect,,,
genuine-lowlight,b1-rgb04.ppm,no-detect,,,
genuine-lowlight,b1-rgb05.ppm,no-detect,,,
genuine-lowlight,b1-rgb06.ppm,no-detect,,,
genuine-lowlight,b1-rgb07.ppm,no-detect,,,
genuine-lowlight,b1-rgb08.ppm,no-detect,,,
genuine-lowlight,b1-rgb09.ppm,no-detect,,,
genuine-lowlight,b1-rgb10.ppm,no-detect,,,
genuine-lowlight,b1-rgb11.ppm,no-detect,,,
genuine-lowlight,b1-rgb12.ppm,ok,0.4932,0.4751,0.4721
genuine-lowlight,b1-rgb13.ppm,no-detect,,,
genuine-lowlight,b1-rgb14.ppm,ok,0.5224,0.5197,0.4665
genuine-lowlight,b1-rgb15.ppm,ok,0.4053,0.4848,0.4335
genuine-lowlight,b1-rgb16.ppm,ok,0.4838,0.4874,0.4709
genuine-lowlight,b1-rgb17.ppm,no-detect,,,
genuine-lowlight,b1-rgb18.ppm,no-detect,,,
genuine-lowlight,b1-rgb19.ppm,no-detect,,,
genuine-lowlight,b1-rgb20.ppm,no-detect,,,
genuine-lowlight,b1-rgb21.ppm,ok,0.3920,0.4664,0.4489
genuine-lowlight,b1-rgb22.ppm,ok,0.4394,0.4185,0.4750
genuine-lowlight,b1-rgb23.ppm,no-detect,,,
genuine-lowlight,b1-rgb24.ppm,ok,0.4295,0.4782,0.4611
genuine-lowlight,b2-rgb00.ppm,no-detect,,,
genuine-lowlight,b2-rgb01.ppm,no-detect,,,
genuine-lowlight,b2-rgb02.ppm,no-detect,,,
genuine-lowlight,b2-rgb03.ppm,no-detect,,,
genuine-lowlight,b2-rgb04.ppm,no-detect,,,
genuine-lowlight,b2-rgb05.ppm,no-detect,,,
genuine-lowlight,b2-rgb06.ppm,no-detect,,,
genuine-lowlight,b2-rgb07.ppm,no-detect,,,
genuine-lowlight,b2-rgb08.ppm,no-detect,,,
genuine-lowlight,b2-rgb09.ppm,no-detect,,,
genuine-lowlight,b2-rgb10.ppm,ok,0.4355,0.4803,0.4560
genuine-lowlight,b2-rgb11.ppm,no-detect,,,
genuine-lowlight,b2-rgb12.ppm,no-detect,,,
genuine-lowlight,b2-rgb13.ppm,no-detect,,,
genuine-lowlight,b2-rgb14.ppm,no-detect,,,
genuine-lowlight,b2-rgb15.ppm,no-detect,,,
genuine-lowlight,b2-rgb16.ppm,no-detect,,,
genuine-lowlight,b2-rgb17.ppm,no-detect,,,
genuine-lowlight,b2-rgb18.ppm,no-detect,,,
genuine-lowlight,b2-rgb19.ppm,no-detect,,,
genuine-lowlight,b2-rgb20.ppm,no-detect,,,
genuine-lowlight,b2-rgb21.ppm,no-detect,,,
