cond,frame,note,p_spoof_tight,p_spoof_m96
attack-banner-close,f001.ppm,ok,0.5258,0.5888
attack-banner-close,f002.ppm,ok,0.4671,0.6060
attack-banner-close,f003.ppm,ok,0.4671,0.6060
attack-banner-close,f004.ppm,ok,0.4911,0.5867
attack-banner-close,f005.ppm,ok,0.4911,0.5867
attack-banner-close,f006.ppm,ok,0.4911,0.5867
attack-banner-close,f007.ppm,ok,0.4848,0.5731
attack-banner-close,f008.ppm,ok,0.5013,0.5820
attack-banner-close,f009.ppm,ok,0.5013,0.5820
attack-banner-close,f010.ppm,ok,0.4933,0.5977
attack-banner-close,f011.ppm,ok,0.4933,0.5977
attack-banner-close,f012.ppm,ok,0.4933,0.5977
attack-banner-close,f013.ppm,ok,0.5035,0.6112
attack-banner-close,f014.ppm,ok,0.5035,0.6112
attack-banner-close,f015.ppm,ok,0.5120,0.6107
attack-banner-close,f016.ppm,ok,0.5120,0.6107
attack-banner-close,f017.ppm,ok,0.4908,0.5866
attack-banner-close,f018.ppm,ok,0.4908,0.5866
attack-banner-close,f019.ppm,ok,0.5083,0.6037
attack-banner-close,f020.ppm,ok,0.5083,0.6037
attack-banner-close,f021.ppm,ok,0.5228,0.6138
attack-banner-close,f022.ppm,ok,0.5228,0.6138
attack-banner-close,f023.ppm,ok,0.5067,0.6185
attack-banner-close,f024.ppm,ok,0.5067,0.6185
attack-banner-close,f025.ppm,ok,0.5344,0.6116
attack-banner-close,f026.ppm,ok,0.5344,0.6116
attack-banner-close,f027.ppm,ok,0.5167,0.6273
attack-banner-close,f028.ppm,ok,0.5167,0.6273
attack-banner-close,f029.ppm,ok,0.5139,0.5992
attack-banner-close,f030.ppm,ok,0.5139,0.5992
attack-banner-close,f031.ppm,ok,0.4959,0.6028
attack-banner-close,f032.ppm,ok,0.4959,0.6028
attack-banner-close,f033.ppm,ok,0.4811,0.5939
attack-banner-close,f034.ppm,ok,0.4811,0.5939
attack-banner-close,f035.ppm,ok,0.4791,0.5809
attack-banner-close,f036.ppm,ok,0.4791,0.5809
attack-banner-close,f037.ppm,ok,0.4631,0.5899
attack-banner-close,f038.ppm,ok,0.4631,0.5899
attack-banner-close,f039.ppm,ok,0.5031,0.5819
attack-banner-close,f040.ppm,ok,0.5031,0.5819
attack-banner-close,f041.ppm,ok,0.4952,0.5760
attack-banner-close,f042.ppm,ok,0.4952,0.5760
attack-banner-close,f043.ppm,ok,0.4889,0.5865
attack-banner-close,f044.ppm,ok,0.4889,0.5865
attack-banner-close,f045.ppm,ok,0.4965,0.5867
attack-banner-close,f046.ppm,ok,0.4965,0.5867
attack-banner-close,f047.ppm,ok,0.4677,0.5643
attack-banner-close,f048.ppm,ok,0.4677,0.5643
attack-banner-flat,f001.ppm,ok,0.6250,0.6556
attack-banner-flat,f002.ppm,ok,0.5674,0.6089
attack-banner-flat,f003.ppm,ok,0.5674,0.6089
attack-banner-flat,f004.ppm,ok,0.5119,0.5827
attack-banner-flat,f005.ppm,ok,0.5119,0.5827
attack-banner-flat,f006.ppm,ok,0.5119,0.5827
attack-banner-flat,f007.ppm,ok,0.4958,0.5647
attack-banner-flat,f008.ppm,ok,0.5304,0.5948
attack-banner-flat,f009.ppm,ok,0.5304,0.5948
attack-banner-flat,f010.ppm,ok,0.5439,0.6677
attack-banner-flat,f011.ppm,ok,0.5439,0.6677
attack-banner-flat,f012.ppm,ok,0.5439,0.6677
attack-banner-flat,f013.ppm,ok,0.6153,0.7012
attack-banner-flat,f014.ppm,ok,0.6153,0.7012
attack-banner-flat,f015.ppm,ok,0.5907,0.6748
attack-banner-flat,f016.ppm,ok,0.5907,0.6748
attack-banner-flat,f017.ppm,ok,0.5853,0.6579
attack-banner-flat,f018.ppm,ok,0.5853,0.6579
attack-banner-flat,f019.ppm,ok,0.6340,0.6246
attack-banner-flat,f020.ppm,ok,0.6340,0.6246
attack-banner-flat,f021.ppm,ok,0.6200,0.6556
attack-banner-flat,f022.ppm,ok,0.6200,0.6556
attack-banner-flat,f023.ppm,ok,0.6290,0.6420
attack-banner-flat,f024.ppm,ok,0.6290,0.6420
attack-banner-flat,f025.ppm,ok,0.6398,0.6367
attack-banner-flat,f026.ppm,ok,0.6398,0.6367
attack-banner-flat,f027.ppm,ok,0.6264,0.6748
attack-banner-flat,f028.ppm,ok,0.6264,0.6748
attack-banner-flat,f029.ppm,ok,0.6267,0.6950
attack-banner-flat,f030.ppm,ok,0.6267,0.6950
attack-banner-flat,f031.ppm,ok,0.6126,0.6866
attack-banner-flat,f032.ppm,ok,0.6126,0.6866
attack-banner-flat,f033.ppm,ok,0.5740,0.6679
attack-banner-flat,f034.ppm,ok,0.5740,0.6679
attack-banner-flat,f035.ppm,ok,0.5583,0.6671
attack-banner-flat,f036.ppm,ok,0.5583,0.6671
attack-banner-flat,f037.ppm,ok,0.5845,0.6014
